BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.42246    -5.42246           0
           2    -5.44454     -5.4335  0.00780587
           3     -5.4468    -5.43794  0.00633927
           4    -5.43525    -5.43726   0.0047898
           5    -5.45831    -5.44147  0.00537174
           6    -5.43713    -5.44075  0.00452493
           7    -5.44685    -5.44162  0.00396149
           8    -5.44781    -5.44239  0.00354093
           9    -5.45003    -5.44324  0.00324762
          10    -5.43988    -5.44291  0.00294018
          11    -5.44021    -5.44266  0.00268308
          12    -5.44204    -5.44261  0.00245998
          13    -5.42719    -5.44142  0.00254083
          14    -5.45204    -5.44218  0.00246987
          15      -5.437    -5.44184  0.00232922
          16    -5.44664    -5.44214  0.00220289
          17    -5.44507    -5.44231  0.00208006
          18    -5.44478    -5.44245    0.001969
          19    -5.45026    -5.44286  0.00190788
          20    -5.45558    -5.44349  0.00191552
          21    -5.43033    -5.44287  0.00192421
          22    -5.44193    -5.44282  0.00183722
          23    -5.43083     -5.4423  0.00182984
          24    -5.44086    -5.44224  0.00175459
          25    -5.44068    -5.44218  0.00168551
          26    -5.45987    -5.44286   0.0017526
          27    -5.46069    -5.44352  0.00180784
          28    -5.43645    -5.44327   0.0017608
          29    -5.43851     -5.4431  0.00170773
          30    -5.45879    -5.44363  0.00172896
          31    -5.44894     -5.4438  0.00168164
          32    -5.42763    -5.44329  0.00170327
          33    -5.43676     -5.4431  0.00166313
          34    -5.45293    -5.44338  0.00163919
          35    -5.42375    -5.44282  0.00168565
          36     -5.4627    -5.44338  0.00172687
          37    -5.44126    -5.44332  0.00168114
          38    -5.45926    -5.44374  0.00168843
          39    -5.42577    -5.44328  0.00170683
          40    -5.45712    -5.44362  0.00169887
          41    -5.45056    -5.44379  0.00166584
          42    -5.46389    -5.44427  0.00169353
          43    -5.44798    -5.44436  0.00165634
          44    -5.46777    -5.44489  0.00170204
          45    -5.45263    -5.44506  0.00167289
          46    -5.45682    -5.44532  0.00165594
          47    -5.46832    -5.44581  0.00169151
          48    -5.46894    -5.44629  0.00172353
          49    -5.43682     -5.4461  0.00169916
          50    -5.44914    -5.44616  0.00166627
          51    -5.47734    -5.44677   0.0017422
          52    -5.45477    -5.44692  0.00171548
          53    -5.44825    -5.44695  0.00168329
          54    -5.45988    -5.44719  0.00166906
          55    -5.43451    -5.44696  0.00165455
          56    -5.42791    -5.44662   0.0016596
          57    -5.42589    -5.44625  0.00166985
          58    -5.43936    -5.44613  0.00164528
          59    -5.43718    -5.44598  0.00162438
          60    -5.45187    -5.44608  0.00160027
          61    -5.45758    -5.44627  0.00158511
          62    -5.46295    -5.44654  0.00158221
          63    -5.46698    -5.44686  0.00159001
          64     -5.4335    -5.44665  0.00157881
          65    -5.47563     -5.4471  0.00161625
          66    -5.43698    -5.44695  0.00159901
          67    -5.45344    -5.44704  0.00157808
          68     -5.4423    -5.44697  0.00155642
          69    -5.44583    -5.44696  0.00153395
          70    -5.44978      -5.447  0.00151257
          71    -5.44015     -5.4469  0.00149433
          72    -5.43633    -5.44675  0.00148077
          73    -5.45526    -5.44687  0.00146507
          74    -5.44631    -5.44686  0.00144529
          75    -5.46354    -5.44708  0.00144302
          76     -5.4434    -5.44704  0.00142484
          77    -5.44458      -5.447   0.0014067
          78    -5.44686      -5.447  0.00138866
          79    -5.45653    -5.44712  0.00137631
          80    -5.44565     -5.4471  0.00135923
          81    -5.45466     -5.4472  0.00134565
          82    -5.44518    -5.44717  0.00132946
          83    -5.43943    -5.44708  0.00131671
          84    -5.44875     -5.4471  0.00130119
          85    -5.44647    -5.44709   0.0012859
          86     -5.4575    -5.44721  0.00127664
          87    -5.45021    -5.44725  0.00126243
          88    -5.43608    -5.44712  0.00125444
          89    -5.45841    -5.44725  0.00124675
          90    -5.45847    -5.44737  0.00123912
          91    -5.44534    -5.44735   0.0012257
          92    -5.44253     -5.4473   0.0012135
          93    -5.42894     -5.4471   0.0012164
          94    -5.45177    -5.44715  0.00120447
          95    -5.44523    -5.44713  0.00119197
          96    -5.44766    -5.44714  0.00117956
          97    -5.45387     -5.4472  0.00116945
          98    -5.43359    -5.44707  0.00116573
          99    -5.45877    -5.44718  0.00115994
         100     -5.4324    -5.44704  0.00115773
