BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.09465     1.09465           0
           2     1.11147     1.10306  0.00594573
           3     1.13187     1.11266  0.00878545
           4     1.09359     1.10789  0.00777622
           5     1.10253     1.10682  0.00629458
           6     1.09912     1.10554  0.00537472
           7     1.09138     1.10352  0.00497307
           8     1.07186     1.09956  0.00571297
           9     1.11548     1.10133  0.00534514
          10     1.10887     1.10208   0.0048635
          11     1.13024     1.10464  0.00505046
          12     1.10729     1.10486   0.0046344
          13     1.05735     1.10121  0.00553431
          14     1.12894     1.10319  0.00548211
          15     1.09219     1.10246   0.0051654
          16     1.12137     1.10364  0.00497601
          17      1.0683     1.10156  0.00509911
          18     1.12107     1.10264   0.0049297
          19     1.09026     1.10199  0.00471313
          20     1.07879     1.10083  0.00461802
          21     1.09555     1.10058  0.00440495
          22     1.10152     1.10062  0.00420493
          23     1.10015      1.1006  0.00402216
          24     1.07866     1.09969  0.00395713
          25     1.07598     1.09874  0.00391082
          26     1.07163      1.0977  0.00389686
          27     1.08454     1.09721  0.00378288
          28     1.10516     1.09749  0.00365841
          29     1.13075     1.09864  0.00370765
          30     1.09898     1.09865  0.00358408
          31     1.06085     1.09743  0.00367009
          32     1.14956     1.09906  0.00390027
          33      1.1025     1.09917  0.00378347
          34     1.11238     1.09955   0.0036921
          35     1.10783     1.09979  0.00359418
          36     1.11963     1.10034  0.00353633
          37     1.10809     1.10055  0.00344695
          38     1.10033     1.10055  0.00335625
          39     1.10888     1.10076  0.00327698
          40     1.11899     1.10121  0.00322658
          41     1.11197     1.10148  0.00315854
          42      1.1218     1.10196   0.0031202
          43     1.08402     1.10154   0.0030754
          44     1.10448     1.10161  0.00300623
          45     1.14088     1.10248  0.00306346
          46     1.07592     1.10191   0.0030508
          47     1.11271     1.10214  0.00299454
          48     1.11986      1.1025  0.00295484
          49     1.11757     1.10281  0.00291048
          50     1.08748     1.10251  0.00286839
