BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         1.1         1.1           0
           2         1.1         1.1           0
           3         1.1         1.1           0
           4         1.1         1.1           0
           5         1.1         1.1           0
           6         1.1         1.1 8.60319e-09
           7         1.1         1.1 7.96501e-09
           8         1.1         1.1 7.45058e-09
           9         1.1         1.1 7.02447e-09
          10         1.1         1.1   6.664e-09
          11         1.1         1.1 6.35388e-09
          12         1.1         1.1 6.08337e-09
          13         1.1         1.1 5.84472e-09
          14         1.1         1.1 5.63211e-09
          15         1.1         1.1 5.44113e-09
          16         1.1         1.1 5.26836e-09
          17         1.1         1.1 5.11106e-09
          18         1.1         1.1           0
          19         1.1         1.1           0
          20         1.1         1.1           0
          21         1.1         1.1  4.5986e-09
          22         1.1         1.1 4.49287e-09
          23         1.1         1.1 4.39411e-09
          24         1.1         1.1 4.30159e-09
          25         1.1         1.1 5.96046e-09
          26         1.1         1.1 5.84472e-09
          27         1.1         1.1 5.73546e-09
          28         1.1         1.1 5.63211e-09
          29         1.1         1.1 5.53415e-09
          30         1.1         1.1 5.44113e-09
          31         1.1         1.1  3.7849e-09
          32         1.1         1.1 3.72529e-09
          33         1.1         1.1 3.66841e-09
          34         1.1         1.1           0
          35         1.1         1.1           0
          36         1.1         1.1           0
          37         1.1         1.1           0
          38         1.1         1.1 3.41856e-09
          39         1.1         1.1 3.37445e-09
          40         1.1         1.1   3.332e-09
          41         1.1         1.1 3.29112e-09
          42         1.1         1.1  4.5986e-09
          43         1.1         1.1 4.54481e-09
          44         1.1         1.1 4.49287e-09
          45         1.1         1.1 4.44267e-09
          46         1.1         1.1 4.39411e-09
          47         1.1         1.1 5.75069e-09
          48         1.1         1.1 5.69047e-09
          49         1.1         1.1 5.63211e-09
          50         1.1         1.1  5.5755e-09
          51         1.1         1.1 5.52057e-09
          52         1.1         1.1 5.46723e-09
          53         1.1         1.1 5.41541e-09
          54         1.1         1.1 5.36503e-09
          55         1.1         1.1 5.68308e-09
          56         1.1         1.1 5.63211e-09
          57         1.1         1.1 5.22194e-09
          58         1.1         1.1 5.17673e-09
          59         1.1         1.1 4.75193e-09
          60         1.1         1.1 4.71216e-09
          61         1.1         1.1 3.30458e-09
          62         1.1         1.1 3.27782e-09
          63         1.1         1.1 1.87737e-09
          64         1.1         1.1 1.86265e-09
          65         1.1         1.1 1.84826e-09
          66         1.1         1.1 3.66841e-09
          67         1.1         1.1 3.64093e-09
          68         1.1         1.1 4.04064e-09
          69         1.1         1.1 4.74618e-09
          70         1.1         1.1 4.71216e-09
          71         1.1         1.1 5.00191e-09
          72         1.1         1.1 5.55333e-09
          73         1.1         1.1 5.51517e-09
          74         1.1         1.1 5.74514e-09
          75         1.1         1.1 6.20385e-09
          76         1.1         1.1  6.1629e-09
          77         1.1         1.1 6.12275e-09
          78         1.1         1.1 6.31302e-09
          79         1.1         1.1 6.91243e-09
          80         1.1         1.1  6.8691e-09
          81         1.1         1.1 6.82656e-09
          82         1.1         1.1 6.98151e-09
          83         1.1         1.1 6.93933e-09
          84         1.1         1.1 7.27102e-09
          85         1.1         1.1 7.22812e-09
          86         1.1         1.1 7.36344e-09
          87         1.1         1.1   7.321e-09
          88         1.1         1.1 7.61803e-09
          89         1.1         1.1 7.57511e-09
          90         1.1         1.1 7.69493e-09
          91         1.1         1.1 7.65253e-09
          92         1.1         1.1 7.61083e-09
          93         1.1         1.1  7.5698e-09
          94         1.1         1.1 7.83687e-09
          95         1.1         1.1 7.79552e-09
          96         1.1         1.1 7.90253e-09
          97         1.1         1.1 7.86169e-09
          98         1.1         1.1 7.82148e-09
          99         1.1         1.1 7.78188e-09
         100         1.1         1.1 8.02452e-09
