DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 1.65344e-05 6.15981e-06
    0.884913  0.00116282 4.48865e-05
    0.910562   0.0241049 0.000283938
    0.936212    0.164023 0.000758012
    0.961861     0.56544  0.00182396
    0.987511     1.20156   0.0024446
     1.01316     1.86215  0.00268058
     1.03881      2.3337  0.00276875
     1.06446     2.55389  0.00222988
     1.09011     2.55126  0.00196771
     1.11576     2.41046  0.00190434
     1.14141     2.19953   0.0021439
     1.16706     1.97281   0.0021991
     1.19271     1.75474   0.0021894
     1.21836     1.55865  0.00211809
     1.24401     1.38967  0.00204158
     1.26966     1.24242  0.00162149
     1.29531     1.12397  0.00155046
     1.32096     1.02476   0.0013744
     1.34661    0.941434  0.00118806
     1.37226    0.874062  0.00110296
     1.39791    0.819684  0.00110136
     1.42355     0.77287  0.00106722
      1.4492      0.7379  0.00092758
     1.47485     0.71133  0.00103346
      1.5005    0.691818  0.00113466
     1.52615      0.6789  0.00116633
      1.5518    0.672089  0.00115781
     1.57745    0.671203   0.0011676
      1.6031    0.674588  0.00122772
     1.62875    0.685479  0.00103294
      1.6544    0.701287  0.00112722
     1.68005    0.721563 0.000934756
      1.7057    0.747545 0.000895768
     1.73135    0.779096 0.000944668
       1.757    0.814847  0.00103979
     1.78265    0.852977 0.000967648
      1.8083    0.892948  0.00108139
     1.83395    0.936211  0.00120852
      1.8596    0.977859  0.00115051
     1.88525     1.01844  0.00116115
      1.9109     1.05814  0.00115618
     1.93655     1.09609  0.00114922
      1.9622     1.13031   0.0011116
     1.98785     1.16173  0.00108442
      2.0135     1.18745  0.00101152
     2.03915     1.20616 0.000893027
      2.0648      1.2153 0.000966727
     2.09045     1.21556 0.000898372
      2.1161     1.20921 0.000992095
     2.14174     1.19588  0.00106631
     2.16739     1.17663  0.00116336
     2.19304     1.15052  0.00107936
     2.21869     1.12293  0.00113305
     2.24434     1.09477  0.00114032
     2.26999     1.06579  0.00108948
     2.29564     1.03831 0.000878418
     2.32129      1.0124 0.000905519
     2.34694    0.987717  0.00083008
     2.37259    0.967211 0.000828928
     2.39824    0.947079 0.000864206
     2.42389    0.931067 0.000880102
     2.44954    0.918601   0.0009478
     2.47519    0.908147 0.000784729
     2.50084    0.894267 0.000795405
     2.52649    0.885865 0.000821929
     2.55214    0.885055 0.000800635
