DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 2.04249e-05 1.05917e-05
    0.884913  0.00117841 0.000119515
    0.910562    0.024551 0.000590739
    0.936212    0.171358   0.0016507
    0.961861    0.582587  0.00288778
    0.987511     1.22769   0.0046754
     1.01316     1.88596   0.0053741
     1.03881     2.34539  0.00679785
     1.06446     2.55842  0.00663588
     1.09011     2.54632  0.00574906
     1.11576     2.39585  0.00612342
     1.14141     2.18138  0.00622586
     1.16706     1.95788  0.00542093
     1.19271     1.73446   0.0060664
     1.21836     1.54537  0.00602494
     1.24401     1.37823   0.0050374
     1.26966     1.23585   0.0048548
     1.29531     1.11275  0.00483854
     1.32096     1.01418  0.00373215
     1.34661    0.937064  0.00364396
     1.37226    0.871451  0.00369247
     1.39791    0.819382  0.00362713
     1.42355    0.772029  0.00344071
      1.4492    0.740922   0.0034527
     1.47485     0.71401  0.00286836
      1.5005    0.694724  0.00322201
     1.52615    0.683438  0.00319606
      1.5518    0.671526  0.00280408
     1.57745    0.673278  0.00280418
      1.6031    0.685584   0.0028855
     1.62875    0.691432  0.00275486
      1.6544    0.708385  0.00264836
     1.68005    0.728543  0.00236906
      1.7057    0.752626  0.00232524
     1.73135    0.784338  0.00285529
       1.757    0.819418  0.00256069
     1.78265    0.855677  0.00331539
      1.8083    0.898189  0.00310209
     1.83395    0.936467  0.00302211
      1.8596    0.977463  0.00296715
     1.88525     1.02252  0.00342849
      1.9109     1.05975  0.00289152
     1.93655     1.09556  0.00269417
      1.9622     1.13323   0.0029176
     1.98785     1.16222  0.00281789
      2.0135     1.18767  0.00301055
     2.03915     1.20525  0.00267083
      2.0648      1.2148  0.00258405
     2.09045     1.21286  0.00281702
      2.1161     1.20788  0.00311822
     2.14174     1.18926  0.00318536
     2.16739     1.17192  0.00267719
     2.19304      1.1481   0.0027232
     2.21869     1.11867  0.00236776
     2.24434     1.08818  0.00233242
     2.26999     1.05753  0.00258328
     2.29564     1.03238   0.0028337
     2.32129     1.00677  0.00282111
     2.34694    0.981861  0.00241482
     2.37259     0.95992  0.00232519
     2.39824    0.939284  0.00238891
     2.42389    0.923452  0.00214961
     2.44954    0.910747  0.00227097
     2.47519    0.904561  0.00209667
     2.50084      0.8972  0.00217715
     2.52649     0.89701  0.00210231
     2.55214    0.896134  0.00223667
