BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.45324    -5.45324           0
           2    -5.45336     -5.4533 4.22842e-05
           3    -5.44307    -5.44989  0.00278537
           4    -5.42314     -5.4432  0.00615685
           5    -5.44245    -5.44305  0.00492734
           6    -5.47413    -5.44823  0.00626218
           7    -5.45998    -5.44991  0.00558797
           8    -5.45124    -5.45008  0.00489195
           9    -5.43997    -5.44895  0.00447537
          10    -5.46824    -5.45088  0.00442375
          11    -5.47201     -5.4528  0.00441879
          12    -5.44492    -5.45214   0.0040991
          13    -5.47351    -5.45379  0.00409995
          14    -5.45917    -5.45417  0.00382505
          15    -5.48771    -5.45641  0.00417275
          16    -5.51189    -5.45988  0.00515532
          17    -5.45767    -5.45975   0.0048537
          18    -5.45996    -5.45976  0.00458407
          19     -5.4627    -5.45991  0.00434541
          20    -5.47521    -5.46068  0.00419494
          21    -5.49976    -5.46254  0.00438855
          22     -5.4793     -5.4633  0.00425468
          23    -5.48002    -5.46403   0.0041313
          24    -5.44787    -5.46335  0.00401364
          25    -5.46958     -5.4636  0.00386081
          26    -5.46311    -5.46358  0.00371236
          27    -5.44531    -5.46291  0.00363604
          28    -5.47717    -5.46342  0.00354166
          29    -5.48442    -5.46414  0.00349281
          30    -5.46192    -5.46407  0.00337717
          31    -5.46276    -5.46402  0.00326849
          32    -5.45992     -5.4639  0.00316886
          33    -5.43791    -5.46311  0.00316917
          34    -5.47031    -5.46332  0.00308303
          35    -5.47958    -5.46379  0.00302972
          36    -5.46258    -5.46375  0.00294575
          37    -5.47896    -5.46416  0.00289468
          38    -5.49452    -5.46496   0.0029267
          39    -5.45495     -5.4647   0.0028629
          40    -5.46729    -5.46477  0.00279206
          41    -5.48629    -5.46529  0.00277286
          42    -5.46409    -5.46527  0.00270699
          43    -5.44559    -5.46481  0.00268242
          44    -5.47348    -5.46501  0.00262868
          45    -5.47609    -5.46525  0.00258178
          46    -5.44202    -5.46475  0.00257459
          47    -5.44163    -5.46425  0.00256636
          48    -5.47452    -5.46447  0.00252179
          49    -5.46692    -5.46452  0.00247083
          50    -5.46876     -5.4646  0.00242286
          51    -5.44002    -5.46412  0.00242282
          52    -5.44336    -5.46372  0.00240889
          53    -5.42329    -5.46296  0.00248129
          54    -5.48482    -5.46336  0.00246816
          55    -5.46401    -5.46338  0.00242331
          56    -5.46901    -5.46348  0.00238212
          57    -5.47535    -5.46368  0.00234942
          58    -5.45637    -5.46356   0.0023123
          59    -5.48115    -5.46386  0.00229226
          60    -5.47699    -5.46408  0.00226448
          61    -5.46917    -5.46416   0.0022289
          62    -5.45841    -5.46407  0.00219488
          63    -5.45272    -5.46389  0.00216742
          64    -5.42439    -5.46327  0.00221966
          65    -5.48011    -5.46353  0.00220058
          66    -5.45985    -5.46347  0.00216795
          67    -5.46235    -5.46346  0.00213566
          68    -5.47859    -5.46368  0.00211581
          69    -5.46654    -5.46372  0.00208555
          70    -5.48337      -5.464  0.00207456
          71    -5.47227    -5.46412  0.00204861
          72    -5.50183    -5.46464  0.00208605
          73    -5.49412    -5.46504   0.0020962
          74      -5.455    -5.46491  0.00207227
          75    -5.44849    -5.46469  0.00205617
          76    -5.45618    -5.46458  0.00203216
          77    -5.46995    -5.46465  0.00200697
          78    -5.43801    -5.46431  0.00201007
          79    -5.46916    -5.46437  0.00198557
          80    -5.44907    -5.46418  0.00196993
          81    -5.44001    -5.46388  0.00196807
          82    -5.47808    -5.46405  0.00195168
          83    -5.49421    -5.46441  0.00196169
          84    -5.45381    -5.46429  0.00194239
          85    -5.46576    -5.46431  0.00191961
          86    -5.47052    -5.46438  0.00189865
          87     -5.4897    -5.46467    0.001899
          88    -5.45976    -5.46461  0.00187824
          89    -5.46825    -5.46465  0.00185758
          90    -5.43222    -5.46429  0.00187157
          91    -5.45852    -5.46423  0.00185208
          92    -5.48716    -5.46448  0.00184864
          93    -5.47005    -5.46454  0.00182973
          94    -5.47517    -5.46465  0.00181376
          95    -5.44632    -5.46446   0.0018049
          96     -5.5039    -5.46487  0.00183226
          97     -5.4518    -5.46474  0.00181832
          98    -5.47316    -5.46482  0.00180179
          99     -5.4882    -5.46506    0.001799
         100     -5.4736    -5.46514  0.00178304
