BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.60472     1.60472           0
           2     1.55049     1.57761   0.0191737
           3     1.51867     1.55796   0.0205099
           4     1.40653      1.5201    0.036215
           5     1.52856     1.52179   0.0290114
           6     1.44665     1.50927   0.0267434
           7     1.39888      1.4935   0.0271777
           8     1.33647     1.47387   0.0300437
           9     1.78898     1.50888   0.0424595
          10     1.52438     1.51043   0.0382418
          11     1.44492     1.50448   0.0352261
          12     1.57677      1.5105   0.0328017
          13     1.32474     1.49621   0.0332457
          14     1.40814     1.48992   0.0314606
          15     1.50457      1.4909   0.0293784
          16     1.57087      1.4959   0.0279642
          17     1.45602     1.49355   0.0264174
          18     1.49271      1.4935   0.0249498
          19      1.4492     1.49117   0.0237454
          20     1.50596     1.49191   0.0225696
          21      1.4974     1.49217   0.0214964
          22     1.45997     1.49071    0.020569
          23     1.58572     1.49484   0.0200853
          24     1.45866     1.49333   0.0193048
          25     1.45231     1.49169   0.0186023
          26     1.40508     1.48836   0.0181826
          27     1.39699     1.48498   0.0178214
          28     1.43639     1.48324   0.0172691
          29     1.57031     1.48624   0.0169326
          30     1.59169     1.48976   0.0167291
          31     1.63585     1.49447   0.0168402
          32     1.56035     1.49653   0.0164393
          33     1.54409     1.49797   0.0160042
          34     1.58943     1.50066   0.0157579
          35     1.45057     1.49923   0.0153725
          36     1.59902       1.502   0.0151934
          37     1.53771     1.50297   0.0148133
          38     1.54714     1.50413   0.0144691
          39     1.63478     1.50748   0.0144807
          40     1.52183     1.50784   0.0141231
          41     1.47662     1.50708   0.0137992
          42     1.38649     1.50421   0.0137661
          43     1.49335     1.50395   0.0134483
          44     1.52785      1.5045   0.0131536
          45     1.50739     1.50456   0.0128614
          46      1.4511      1.5034   0.0126342
          47      1.6428     1.50636   0.0127088
          48     1.33005     1.50269    0.012964
          49     1.53069     1.50326    0.012712
          50     1.46199     1.50244   0.0124846
          51     1.65783     1.50548   0.0126061
          52     1.57612     1.50684   0.0124366
          53     1.54622     1.50759   0.0122241
          54     1.41064     1.50579   0.0121289
          55     1.62358     1.50793    0.012096
          56     1.40512      1.5061   0.0120185
          57      1.4676     1.50542   0.0118266
          58     1.41183     1.50381   0.0117323
          59     1.49048     1.50358   0.0115356
          60     1.49249      1.5034   0.0113448
          61     1.45915     1.50267    0.011182
          62     1.44377     1.50172   0.0110419
          63     1.54627     1.50243   0.0108893
          64     1.64686     1.50468   0.0109505
          65     1.35348     1.50236   0.0110263
          66     1.58976     1.50368   0.0109385
          67     1.68831     1.50644   0.0111169
          68     1.51853     1.50662   0.0109549
          69     1.53032     1.50696   0.0108015
          70      1.3822     1.50518   0.0107932
          71     1.49914     1.50509   0.0106415
          72     1.41783     1.50388   0.0105625
          73     1.50881     1.50395    0.010418
          74     1.50478     1.50396   0.0102773
          75     1.58664     1.50506   0.0101992
          76     1.40151      1.5037   0.0101556
          77     1.32152     1.50133   0.0102956
          78     1.46028     1.50081   0.0101771
          79     1.40787     1.49963    0.010116
          80     1.29781     1.49711   0.0102993
          81     1.38784     1.49576   0.0102601
          82     1.47151     1.49546   0.0101393
          83     1.45092     1.49493   0.0100313
          84     1.63754     1.49662   0.0100545
          85     1.50563     1.49673   0.0099368
          86     1.37479     1.49531   0.0099219
          87     1.51328     1.49552     0.00981
          88     1.26166     1.49286    0.010052
          89     1.44437     1.49232  0.00995383
          90      1.5791     1.49328  0.00988983
          91     1.49896     1.49334  0.00978134
          92     1.68074     1.49538  0.00988484
          93     1.40972     1.49446  0.00982137
          94     1.59106     1.49549   0.0097705
          95     1.57487     1.49632  0.00970332
          96     1.42737      1.4956  0.00962879
          97     1.41447     1.49477  0.00956578
          98     1.65847     1.49644   0.0096129
          99     1.49521     1.49643  0.00951581
         100     1.31694     1.49463  0.00958844
