BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.46924     1.46924           0
           2     1.43979     1.45452    0.010411
           3     1.51722     1.47542   0.0184229
           4     1.62134      1.5119   0.0344831
           5     1.55148     1.51982   0.0284805
           6     1.33836     1.48957   0.0364065
           7      1.4749     1.48748   0.0312659
           8     1.48677     1.48739   0.0273578
           9     1.50335     1.48916   0.0243754
          10     1.34933     1.47518   0.0256368
          11     1.32933     1.46192    0.026514
          12     1.48639     1.46396   0.0243828
          13     1.35893     1.45588   0.0238081
          14     1.40638     1.45235   0.0223684
          15     1.27938     1.44081   0.0236635
          16     1.18148     1.42461   0.0271743
          17     1.42734     1.42477   0.0255763
          18     1.43264      1.4252   0.0241591
          19     1.39999     1.42388    0.022924
          20     1.31489     1.41843   0.0224162
          21     1.23166     1.40953   0.0230455
          22     1.34414     1.40656   0.0221888
          23     1.30482     1.40214   0.0216605
          24     1.47134     1.40502    0.020949
          25     1.37086     1.40365   0.0201556
          26     1.41971     1.40427   0.0193898
          27     1.51204     1.40826    0.019078
          28     1.35613      1.4064   0.0184873
          29     1.30051     1.40275   0.0182069
          30     1.39492     1.40249   0.0176018
          31     1.39655      1.4023   0.0170351
          32     1.42428     1.40298   0.0165166
          33     1.57064     1.40806   0.0167793
          34     1.40146     1.40787   0.0162869
          35     1.32661     1.40555   0.0159862
          36     1.46999     1.40734    0.015642
          37      1.3101     1.40471   0.0154384
          38     1.23682     1.40029   0.0156515
          39     1.44292     1.40139   0.0152883
          40     1.38288     1.40092   0.0149131
          41     1.26063      1.3975   0.0149368
          42     1.38946     1.39731   0.0145824
          43     1.49422     1.39956   0.0144164
          44     1.35291      1.3985   0.0141277
          45     1.34256     1.39726   0.0138683
          46     1.48994     1.39927   0.0137124
          47     1.49249     1.40126   0.0135633
          48     1.36757     1.40056   0.0132989
          49     1.42567     1.40107   0.0130374
          50     1.36348     1.40032   0.0127983
          51      1.5006     1.40228   0.0126975
          52     1.53444     1.40482   0.0127051
          53     1.61868     1.40886   0.0130905
          54     1.31028     1.40703   0.0129747
          55      1.4256     1.40737   0.0127432
          56      1.3589     1.40651    0.012545
          57      1.3654     1.40578   0.0123456
          58     1.40253     1.40573   0.0121329
          59      1.3334      1.4045    0.011989
          60     1.30451     1.40284   0.0119045
          61     1.42138     1.40314   0.0117132
          62      1.3988     1.40307   0.0115245
          63     1.45303     1.40386   0.0113688
          64     1.55647     1.40625   0.0114385
          65     1.29849     1.40459   0.0113821
          66     1.46016     1.40543   0.0112407
          67     1.41052     1.40551   0.0110732
          68     1.30853     1.40408   0.0110018
          69     1.40775     1.40413   0.0108425
          70     1.29007     1.40251   0.0108093
          71     1.35445     1.40183   0.0106783
          72     1.23792     1.39955   0.0107699
          73     1.21748     1.39706   0.0109074
          74     1.42205      1.3974   0.0107652
          75     1.47706     1.39846   0.0106739
          76     1.47526     1.39947   0.0105812
          77     1.39458      1.3994    0.010444
          78     1.53141      1.4011   0.0104463
          79     1.34225     1.40035   0.0103406
          80      1.4879     1.40145   0.0102691
          81     1.48695      1.4025   0.0101964
          82     1.33323     1.40166    0.010107
          83     1.24407     1.39976    0.010162
          84      1.4151     1.39994   0.0100427
          85      1.3531     1.39939  0.00993963
          86     1.31907     1.39846  0.00986783
          87     1.24282     1.39667  0.00991524
          88     1.40214     1.39673  0.00980276
          89     1.32594     1.39593  0.00972483
          90     1.52361     1.39735   0.0097197
          91     1.44523     1.39788  0.00962712
          92      1.3304     1.39715  0.00955038
          93     1.40292     1.39721  0.00944789
          94     1.38166     1.39704  0.00934882
          95     1.48127     1.39793  0.00929236
          96     1.20755     1.39595   0.0094048
          97     1.47422     1.39675  0.00934239
          98     1.34236      1.3962  0.00926353
          99     1.27366     1.39496  0.00925229
         100     1.33127     1.39432  0.00918166
