BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.09022     1.09022           0
           2     1.09222     1.09122 0.000706066
           3     1.07803     1.08682  0.00362113
           4     1.10934     1.09245  0.00558111
           5      1.0928     1.09252  0.00446532
           6     1.10417     1.09446  0.00412157
           7      1.1101      1.0967  0.00409367
           8     1.11526     1.09902   0.0041884
           9     1.08433     1.09739  0.00402851
          10     1.10543     1.09819  0.00370519
          11     1.10572     1.09888  0.00343107
          12     1.07688     1.09704  0.00360175
          13     1.11851     1.09869  0.00368399
          14     1.11093     1.09957  0.00352304
          15     1.10516     1.09994  0.00330781
          16     1.08848     1.09922  0.00317766
          17     1.09773     1.09914  0.00299196
          18     1.10609     1.09952   0.0028506
          19     1.12105     1.10066  0.00291699
          20     1.10054     1.10065  0.00277115
          21     1.08959     1.10012  0.00268875
          22     1.11249     1.10069  0.00262463
          23     1.09202     1.10031  0.00253743
          24     1.10876     1.10066  0.00245605
          25     1.09246     1.10033  0.00237959
          26     1.11412     1.10086  0.00234643
          27     1.10762     1.10111  0.00227284
          28     1.11019     1.10144  0.00221466
          29     1.09644     1.10127    0.002145
          30     1.09291     1.10099  0.00209152
          31     1.08922     1.10061  0.00205819
          32     1.10192     1.10065  0.00199428
          33     1.10871     1.10089  0.00194876
          34     1.09332     1.10067  0.00190414
          35     1.10847     1.10089  0.00186273
          36     1.10106      1.1009    0.001811
          37     1.09841     1.10083   0.0017633
          38     1.09735     1.10074  0.00171927
          39     1.07433     1.10006  0.00180363
          40     1.10806     1.10026   0.0017696
          41     1.10071     1.10027  0.00172647
          42     1.11254     1.10056  0.00170989
          43     1.09445     1.10042  0.00167603
          44      1.0926     1.10024  0.00164734
          45     1.10451     1.10034  0.00161345
          46     1.10569     1.10046  0.00158257
          47     1.08275     1.10008  0.00159311
          48     1.12349     1.10057  0.00163288
          49     1.10541     1.10067  0.00160255
          50     1.11014     1.10085  0.00158167
          51     1.09316      1.1007  0.00155784
          52     1.08341     1.10037  0.00156296
          53     1.09595     1.10029   0.0015357
          54      1.1277      1.1008  0.00158896
          55     1.10659      1.1009  0.00156356
          56     1.10671       1.101  0.00153908
          57     1.10272     1.10104  0.00151237
          58     1.11938     1.10135    0.001519
          59     1.10118     1.10135  0.00149326
          60     1.10871     1.10147  0.00147341
          61     1.09406     1.10135  0.00145425
          62     1.10192     1.10136  0.00143082
          63     1.08102     1.10104  0.00144409
          64     1.09158     1.10089  0.00142906
          65     1.12027     1.10119  0.00143786
          66     1.08834     1.10099  0.00142918
          67      1.0784     1.10065  0.00144707
          68     1.10885     1.10078   0.0014308
          69     1.09304     1.10066  0.00141445
          70     1.10434     1.10072  0.00139522
          71     1.08846     1.10054   0.0013862
          72     1.10281     1.10057  0.00136731
          73     1.09218     1.10046   0.0013534
          74     1.10855     1.10057  0.00133952
          75     1.09532      1.1005  0.00132349
          76     1.11593      1.1007  0.00132155
          77     1.12554     1.10102  0.00134317
          78     1.09448     1.10094  0.00132857
          79      1.1052     1.10099  0.00131285
          80     1.12724     1.10132  0.00133679
          81     1.10479     1.10137  0.00132098
          82     1.09705     1.10131  0.00130592
          83     1.10779     1.10139  0.00129251
          84     1.08821     1.10123  0.00128662
          85     1.09046     1.10111   0.0012777
          86     1.11182     1.10123  0.00126891
          87     1.08945      1.1011  0.00126153
          88     1.12499     1.10137  0.00127608
          89      1.1063     1.10142  0.00126294
          90     1.10238     1.10143  0.00124896
          91     1.11367     1.10157  0.00124244
          92     1.08482     1.10139   0.0012422
          93     1.11784     1.10156  0.00124138
          94     1.08231     1.10136  0.00124495
          95     1.07801     1.10111  0.00125587
          96     1.11173     1.10122  0.00124765
          97     1.10037     1.10121  0.00123482
          98     1.08913     1.10109  0.00122836
          99     1.10176      1.1011  0.00121597
         100     1.12611     1.10135  0.00122927
