BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.63526    -6.63526           0
           2    -6.51105    -6.57315   0.0439157
           3    -6.38821    -6.51151    0.058231
           4    -6.27357    -6.45202   0.0675355
           5    -6.19353    -6.40032   0.0711142
           6    -6.15118     -6.3588   0.0703478
           7    -6.12867    -6.32593   0.0675445
           8    -6.09261    -6.29676   0.0650938
           9    -6.03911    -6.26813   0.0638468
          10    -5.96976     -6.2383   0.0640558
          11    -5.97989     -6.2148   0.0623916
          12    -5.97707    -6.19499   0.0602556
          13    -6.01977    -6.18151   0.0571082
          14    -5.92256    -6.16302   0.0559444
          15    -5.97506    -6.15049   0.0535997
          16    -5.88201    -6.13371   0.0528111
          17    -5.85622    -6.11738   0.0521661
          18    -5.84924    -6.10249    0.051351
          19    -5.78673    -6.08587    0.051267
          20    -5.79051     -6.0711   0.0507862
          21    -5.85522    -6.06082   0.0493973
          22    -5.76039    -6.04716   0.0490032
          23     -5.8165    -6.03714   0.0478879
          24    -5.94578    -6.03333   0.0460436
          25    -5.95708    -6.03028   0.0443028
          26    -5.84668    -6.02322   0.0431579
          27    -5.77718     -6.0141   0.0425106
          28    -5.84209    -6.00796   0.0414339
          29    -5.85116    -6.00255   0.0403564
          30      -5.811    -5.99617   0.0395131
          31    -5.80564    -5.99002   0.0387135
          32    -5.81127    -5.98444   0.0379046
          33      -5.816    -5.97933    0.037098
          34    -5.89595    -5.97688   0.0360879
          35    -5.87639    -5.97401   0.0351708
          36    -5.78569    -5.96878   0.0345807
          37    -5.82988    -5.96502   0.0338492
          38    -5.71023    -5.95832    0.033616
          39    -5.79398    -5.95411   0.0330171
          40    -5.71236    -5.94806   0.0327401
          41    -5.58737    -5.93926   0.0331024
          42    -5.55156    -5.93003   0.0335767
          43    -5.54446    -5.92107   0.0339721
          44    -5.72049    -5.91651   0.0335045
          45    -5.66646    -5.91095   0.0332175
          46    -5.77068     -5.9079   0.0326351
          47    -5.71377    -5.90377    0.032201
          48    -5.75495    -5.90067   0.0316791
          49    -5.68077    -5.89618   0.0313488
          50    -5.67817    -5.89182   0.0310236
          51    -5.76307     -5.8893   0.0305178
          52    -5.87037    -5.88893   0.0299331
          53     -5.8943    -5.88904   0.0293685
          54     -5.9123    -5.88947   0.0288278
          55    -5.88511    -5.88939   0.0283038
          56    -5.78642    -5.88755    0.027858
          57    -5.75198    -5.88517   0.0274706
          58    -5.72461     -5.8824   0.0271361
          59    -5.77856    -5.88064   0.0267332
          60    -5.82882    -5.87978   0.0263016
