BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.79299    -6.79299           0
           2    -6.79267    -6.79283 0.000112111
           3    -6.79214     -6.7926 0.000201252
           4     -6.7914     -6.7923 0.000299934
           5    -6.79045    -6.79193 0.000408767
           6    -6.78928    -6.79149 0.000527446
           7     -6.7879    -6.79098 0.000655622
           8    -6.78629    -6.79039 0.000793016
           9    -6.78446    -6.78973 0.000939435
          10     -6.7824      -6.789  0.00109477
          11     -6.7801    -6.78819  0.00125897
          12    -6.77756    -6.78731  0.00143206
          13    -6.77447    -6.78632  0.00162694
          14    -6.77143    -6.78525  0.00182559
          15    -6.76811    -6.78411  0.00203022
          16    -6.76393    -6.78285   0.0022616
          17     -6.7596    -6.78148  0.00250812
          18    -6.75514    -6.78002  0.00276297
          19    -6.75052    -6.77847  0.00302253
          20    -6.74527    -6.77681  0.00329576
          21    -6.73984    -6.77505  0.00357812
          22    -6.73376    -6.77317  0.00387642
          23    -6.72762    -6.77119  0.00418324
          24    -6.72065    -6.76908  0.00450789
          25    -6.71328    -6.76685  0.00484876
          26    -6.70581     -6.7645  0.00519976
          27    -6.69744    -6.76202  0.00556886
          28    -6.68893    -6.75941  0.00595035
          29    -6.67981    -6.75666  0.00634681
          30    -6.67004    -6.75378  0.00676023
          31    -6.66007    -6.75075  0.00718623
          32    -6.64927    -6.74758  0.00762938
          33    -6.63792    -6.74426  0.00808956
          34     -6.6263    -6.74079  0.00856332
          35    -6.61439    -6.73718  0.00904821
          36    -6.60186    -6.73342  0.00954576
          37    -6.58825     -6.7295   0.0100619
          38    -6.57413    -6.72541   0.0105953
          39    -6.55919    -6.72115   0.0111479
          40    -6.54341     -6.7167   0.0117214
          41    -6.52707    -6.71208   0.0123143
          42    -6.51016    -6.70727   0.0129255
          43    -6.49267    -6.70228   0.0135542
          44    -6.47428     -6.6971   0.0142021
          45    -6.45559    -6.69173    0.014866
          46    -6.43599    -6.68617   0.0155477
          47    -6.41623    -6.68043   0.0162431
          48    -6.39557    -6.67449   0.0169542
          49    -6.37386    -6.66836   0.0176835
          50    -6.35157    -6.66202   0.0184299
          51    -6.32841    -6.65548   0.0191943
          52    -6.30455    -6.64873   0.0199764
          53    -6.28003    -6.64178   0.0207755
          54    -6.25502    -6.63461     0.02159
          55    -6.22897    -6.62724   0.0224219
          56    -6.20341    -6.61967   0.0232637
          57    -6.17721    -6.61191   0.0241159
          58    -6.14979    -6.60394   0.0249817
          59    -6.12228    -6.59578   0.0258578
          60    -6.09458    -6.58742    0.026742
          61    -6.06661    -6.57889    0.027633
          62    -6.03812    -6.57016   0.0285306
          63    -6.00948    -6.56126   0.0294331
          64    -5.98167    -6.55221   0.0303344
          65    -5.95323    -6.54299   0.0312361
          66    -5.92484    -6.53363   0.0321363
          67    -5.89656    -6.52412   0.0330334
          68     -5.8677    -6.51446   0.0339287
          69    -5.84013    -6.50469   0.0348161
          70    -5.81285    -6.49481    0.035694
          71    -5.78516    -6.48481   0.0365639
          72    -5.75863    -6.47473   0.0374213
          73    -5.73241    -6.46456   0.0382654
          74    -5.70579    -6.45431    0.039098
          75    -5.68033    -6.44399   0.0399153
          76    -5.65578    -6.43361   0.0407152
          77    -5.63204     -6.4232   0.0414959
          78    -5.60901    -6.41277   0.0422564
          79    -5.58598     -6.4023    0.042998
          80    -5.56465    -6.39183   0.0437168
          81    -5.54371    -6.38136   0.0444133
          82    -5.52366     -6.3709   0.0450866
          83    -5.50453    -6.36046   0.0457357
          84    -5.48623    -6.35005   0.0463602
          85    -5.46848    -6.33968   0.0469606
          86    -5.45223    -6.32936   0.0475348
          87    -5.43767    -6.31911   0.0480807
          88    -5.42376    -6.30894    0.048599
          89    -5.41113    -6.29885   0.0490887
          90    -5.39935    -6.28886   0.0495503
          91     -5.3892    -6.27897   0.0499823
          92    -5.38022     -6.2692   0.0503847
          93    -5.37256    -6.25956    0.050757
          94    -5.36532    -6.25005   0.0511007
          95    -5.35953    -6.24067   0.0514154
          96    -5.35471    -6.23144   0.0517014
          97    -5.35082    -6.22237   0.0519594
          98    -5.34798    -6.21344   0.0521896
          99    -5.34598    -6.20468   0.0523929
         100    -5.34522    -6.19609   0.0525692
         101    -5.34547    -6.18766    0.052719
         102    -5.34651    -6.17942   0.0528432
         103    -5.34843    -6.17135   0.0529425
         104    -5.35067    -6.16346   0.0530182
         105    -5.35363    -6.15575   0.0530713
         106    -5.35631     -6.1482   0.0531038
         107    -5.36029    -6.14084   0.0531156
         108    -5.36474    -6.13365   0.0531077
         109    -5.36913    -6.12664   0.0530816
         110    -5.37368     -6.1198   0.0530385
         111    -5.37834    -6.11312   0.0529797
