BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1        2.04        2.04           0
           2     2.03993     2.03996 2.59572e-05
           3     2.03971     2.03988 7.19794e-05
           4     2.03934     2.03974 0.000128294
           5     2.03883     2.03956 0.000193403
           6     2.03817     2.03933  0.00026638
           7     2.03736     2.03905  0.00034662
           8     2.03639     2.03871 0.000433715
           9     2.03528     2.03833 0.000527392
          10     2.03401      2.0379 0.000627474
          11     2.03257     2.03742 0.000733857
          12     2.03098     2.03688 0.000846499
          13     2.02921     2.03629 0.000965368
          14     2.02727     2.03564  0.00109046
          15     2.02515     2.03495  0.00122188
          16     2.02284     2.03419  0.00135973
          17     2.02034     2.03337   0.0015041
          18     2.01764      2.0325  0.00165511
          19     2.01474     2.03156  0.00181295
          20     2.01161     2.03057  0.00197787
          21     2.00826      2.0295  0.00215009
          22     2.00467     2.02838  0.00232984
          23     2.00084     2.02718  0.00251741
          24     1.99675     2.02591  0.00271307
          25     1.99239     2.02457  0.00291712
          26     1.98775     2.02315  0.00312986
          27     1.98282     2.02166  0.00335161
          28     1.97757     2.02009   0.0035827
          29     1.97201     2.01843  0.00382347
          30     1.96612     2.01668  0.00407425
          31     1.95988     2.01485  0.00433537
          32     1.95327     2.01293  0.00460721
          33     1.94629     2.01091  0.00489013
          34     1.93891     2.00879  0.00518453
          35     1.93112     2.00657  0.00549078
          36     1.92291     2.00425  0.00580928
          37     1.91426     2.00182  0.00614036
          38     1.90515     1.99927  0.00648436
          39     1.89557     1.99661  0.00684159
          40     1.88551     1.99384  0.00721236
          41     1.87496     1.99094  0.00759693
          42      1.8639     1.98791  0.00799557
          43     1.85232     1.98476  0.00840849
          44     1.84021     1.98147  0.00883586
          45     1.82757     1.97805  0.00927779
          46      1.8144     1.97449  0.00973437
          47     1.80068      1.9708   0.0102056
          48     1.78642     1.96696   0.0106914
          49     1.77163     1.96297   0.0111917
          50     1.75631     1.95884   0.0117062
          51     1.74048     1.95455   0.0122346
          52     1.72414     1.95012   0.0127766
          53     1.70732     1.94554   0.0133316
          54     1.69003     1.94081   0.0138991
          55     1.67231     1.93593   0.0144784
          56     1.65418      1.9309   0.0150687
          57     1.63567     1.92572   0.0156692
          58     1.61684     1.92039   0.0162789
          59      1.5977     1.91492   0.0168968
          60      1.5783     1.90931   0.0175219
          61      1.5587     1.90356   0.0181529
          62     1.53892     1.89768   0.0187887
          63     1.51903     1.89167   0.0194281
          64     1.49906     1.88554   0.0200697
          65     1.47906     1.87928   0.0207123
          66     1.45908     1.87292   0.0213546
          67     1.43917     1.86644   0.0219953
          68     1.41936     1.85987   0.0226331
          69     1.39971      1.8532   0.0232669
          70     1.38025     1.84644   0.0238954
          71     1.36103     1.83961   0.0245173
          72     1.34209      1.8327   0.0251317
          73     1.32346     1.82572   0.0257374
          74     1.30518     1.81869   0.0263334
          75     1.28729      1.8116   0.0269186
          76     1.26982     1.80447   0.0274921
          77     1.25282     1.79731   0.0280531
          78     1.23631     1.79012   0.0286005
          79     1.22033      1.7829   0.0291337
          80     1.20491     1.77568   0.0296519
          81     1.19009     1.76845   0.0301543
          82      1.1759     1.76122   0.0306402
          83     1.16236     1.75401   0.0311089
          84     1.14952     1.74681   0.0315599
          85      1.1374     1.73964   0.0319927
          86     1.12602     1.73251   0.0324065
          87     1.11542     1.72541   0.0328011
          88      1.1056     1.71837   0.0331759
          89      1.0966     1.71138   0.0335307
          90     1.08842     1.70446    0.033865
          91     1.08108     1.69761   0.0341787
          92     1.07459     1.69084   0.0344716
          93     1.06893     1.68415   0.0347435
          94     1.06411     1.67756   0.0349944
          95      1.0601     1.67106   0.0352245
          96     1.05689     1.66466   0.0354338
          97     1.05446     1.65837   0.0356225
          98     1.05276     1.65219    0.035791
          99     1.05176     1.64612   0.0359397
         100     1.05141     1.64018    0.036069
         101     1.05167     1.63435   0.0361795
         102     1.05248     1.62865   0.0362717
         103     1.05378     1.62306   0.0363464
         104     1.05551     1.61761   0.0364043
         105     1.05761     1.61227   0.0364462
         106     1.06003     1.60706   0.0364728
         107      1.0627     1.60198   0.0364851
         108     1.06557     1.59701   0.0364837
         109     1.06859     1.59216   0.0364697
         110      1.0717     1.58743   0.0364438
         111     1.07486     1.58281   0.0364068
         112     1.07803     1.57831   0.0363597
         113     1.08117     1.57391   0.0363031
         114     1.08425     1.56961   0.0362378
         115     1.08724     1.56542   0.0361647
         116     1.09013     1.56132   0.0360843
         117     1.09289     1.55732   0.0359973
         118     1.09551      1.5534   0.0359043
         119     1.09799     1.54958    0.035806
         120     1.10032     1.54583   0.0357028
         121      1.1025     1.54217   0.0355952
         122     1.10452     1.53858   0.0354838
         123      1.1064     1.53507   0.0353688
         124     1.10815     1.53162   0.0352508
         125     1.10977     1.52825   0.0351299
         126     1.11126     1.52494   0.0350067
         127     1.11265     1.52169   0.0348812
         128     1.11393     1.51851   0.0347539
         129     1.11514     1.51538   0.0346248
         130     1.11626     1.51231   0.0344943
         131     1.11733      1.5093   0.0343626
         132     1.11834     1.50633   0.0342296
         133     1.11931     1.50342   0.0340957
         134     1.12025     1.50056    0.033961
         135     1.12116     1.49775   0.0338255
         136     1.12205     1.49499   0.0336894
         137     1.12292     1.49228   0.0335528
         138     1.12378     1.48961   0.0334157
         139     1.12463     1.48698   0.0332783
         140     1.12547      1.4844   0.0331407
         141     1.12629     1.48186   0.0330028
         142     1.12711     1.47936   0.0328648
         143      1.1279      1.4769   0.0327267
         144     1.12868     1.47448   0.0325887
         145     1.12943      1.4721   0.0324507
         146     1.13017     1.46976   0.0323129
         147     1.13087     1.46746   0.0321752
         148     1.13154     1.46519   0.0320377
         149     1.13219     1.46295   0.0319006
         150     1.13279     1.46075   0.0317637
         151     1.13337     1.45858   0.0316273
         152     1.13391     1.45645   0.0314913
         153     1.13442     1.45434   0.0313557
         154     1.13491     1.45227   0.0312206
         155     1.13538     1.45022   0.0310861
