BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1       3.075       3.075           0
           2     3.07489     3.07494 3.91265e-05
           3     3.07456     3.07482 0.000108498
           4     3.07401     3.07461 0.000193384
           5     3.07323     3.07434 0.000291528
           6     3.07224     3.07399 0.000401533
           7     3.07101     3.07356 0.000522491
           8     3.06957     3.07306 0.000653786
           9     3.06788     3.07249 0.000795009
          10     3.06597     3.07183 0.000945894
          11      3.0638      3.0711  0.00110629
          12      3.0614      3.0703  0.00127613
          13     3.05873     3.06941  0.00145536
          14      3.0558     3.06843  0.00164401
          15     3.05261     3.06738  0.00184219
          16     3.04913     3.06624  0.00205009
          17     3.04536     3.06501  0.00226784
          18     3.04129     3.06369  0.00249564
          19      3.0369     3.06228  0.00273375
          20     3.03219     3.06078  0.00298256
          21     3.02713     3.05918  0.00324242
          22     3.02172     3.05747  0.00351367
          23     3.01594     3.05567  0.00379674
          24     3.00976     3.05375  0.00409205
          25     3.00318     3.05173  0.00440003
          26     2.99618     3.04959  0.00472117
          27     2.98873     3.04734  0.00505594
          28     2.98082     3.04496  0.00540486
          29     2.97242     3.04246  0.00576843
          30     2.96352     3.03983  0.00614712
          31     2.95409     3.03707  0.00654148
          32     2.94412     3.03416  0.00695206
          33     2.93357     3.03111  0.00737944
          34     2.92243     3.02792  0.00782419
          35     2.91066     3.02457  0.00828692
          36     2.89825     3.02106  0.00876818
          37     2.88517     3.01738   0.0092685
          38     2.87141     3.01354  0.00978838
          39     2.85693     3.00953   0.0103283
          40     2.84173     3.00533   0.0108887
          41     2.82578     3.00095   0.0114701
          42     2.80906     2.99638   0.0120728
          43     2.79155     2.99162    0.012697
          44     2.77325     2.98666   0.0133432
          45     2.75415     2.98149   0.0140114
          46     2.73422     2.97612   0.0147018
          47     2.71349     2.97053   0.0154144
          48     2.69193     2.96472    0.016149
          49     2.66957      2.9587   0.0169056
          50     2.64641     2.95245   0.0176836
          51     2.62248     2.94598   0.0184827
          52     2.59778     2.93929   0.0193022
          53     2.57235     2.93236   0.0201414
          54     2.54622     2.92521   0.0209994
          55     2.51944     2.91784   0.0218753
          56     2.49205     2.91023   0.0227677
          57     2.46409     2.90241   0.0236755
          58     2.43563     2.89436   0.0245971
          59     2.40672     2.88609    0.025531
          60     2.37743     2.87762   0.0264756
          61     2.34783     2.86893   0.0274292
          62     2.31798     2.86004   0.0283898
          63     2.28794     2.85096   0.0293556
          64     2.25781     2.84169   0.0303247
          65     2.22763     2.83225   0.0312951
          66     2.19749     2.82263   0.0322649
          67     2.16746     2.81285   0.0332322
          68     2.13759     2.80292   0.0341949
          69     2.10796     2.79285   0.0351514
          70     2.07863     2.78265   0.0360996
          71     2.04967     2.77232   0.0370379
          72     2.02112     2.76189   0.0379646
          73     1.99306     2.75136   0.0388779
          74     1.96553     2.74074   0.0397764
          75      1.9386     2.73004   0.0406585
          76     1.91231     2.71928   0.0415228
          77     1.88673     2.70847    0.042368
          78     1.86189     2.69762   0.0431926
          79     1.83787     2.68673   0.0439956
          80      1.8147     2.67583   0.0447756
          81     1.79244     2.66493   0.0455317
          82     1.77113     2.65403   0.0462627
          83     1.75083     2.64315   0.0469677
          84     1.73157     2.63229   0.0476458
          85     1.71341     2.62148   0.0482961
          86     1.69638     2.61073   0.0489178
          87     1.68053     2.60003   0.0495102
          88     1.66587     2.58942   0.0500727
          89     1.65245     2.57889   0.0506047
          90     1.64028     2.56846   0.0511058
          91     1.62937     2.55814   0.0515756
          92     1.61974     2.54794   0.0520138
          93     1.61138     2.53787   0.0524203
          94     1.60428     2.52794   0.0527952
          95     1.59841     2.51816   0.0531384
          96     1.59375     2.50853   0.0534502
          97     1.59025     2.49906   0.0537309
          98     1.58785     2.48976   0.0539812
          99     1.58651     2.48064   0.0542015
         100     1.58614     2.47169   0.0543926
         101     1.58666     2.46293   0.0545553
         102     1.58801     2.45435   0.0546906
         103     1.59008     2.44596   0.0547995
         104      1.5928     2.43776   0.0548832
         105     1.59606     2.42974   0.0549428
         106     1.59978     2.42191   0.0549796
         107     1.60388     2.41427   0.0549947
         108     1.60826      2.4068   0.0549896
         109     1.61284     2.39952   0.0549654
         110     1.61755     2.39241   0.0549235
         111     1.62232     2.38547   0.0548651
         112     1.62709      2.3787   0.0547915
         113     1.63181     2.37209   0.0547038
         114     1.63643     2.36564   0.0546033
         115     1.64091     2.35934   0.0544909
         116     1.64522     2.35318   0.0543678
         117     1.64934     2.34717   0.0542349
         118     1.65325     2.34128   0.0540932
         119     1.65693     2.33553   0.0539434
         120     1.66039     2.32991   0.0537865
         121     1.66362      2.3244   0.0536231
         122     1.66662     2.31901    0.053454
         123     1.66941     2.31373   0.0532796
         124     1.67199     2.30855   0.0531007
         125     1.67437     2.30348   0.0529177
         126     1.67658      2.2985   0.0527311
         127     1.67863     2.29362   0.0525413
         128     1.68053     2.28883   0.0523487
         129     1.68231     2.28413   0.0521536
         130     1.68398     2.27951   0.0519564
         131     1.68556     2.27498   0.0517572
         132     1.68706     2.27053   0.0515564
         133     1.68851     2.26615   0.0513541
         134     1.68991     2.26185   0.0511506
         135     1.69127     2.25762   0.0509461
         136      1.6926     2.25347   0.0507406
         137     1.69391     2.24939   0.0505343
         138      1.6952     2.24537   0.0503274
         139     1.69648     2.24142     0.05012
         140     1.69774     2.23754   0.0499123
         141     1.69898     2.23372   0.0497042
         142      1.7002     2.22996    0.049496
         143      1.7014     2.22626   0.0492877
         144     1.70256     2.22263   0.0490794
         145      1.7037     2.21905   0.0488712
         146      1.7048     2.21553   0.0486632
         147     1.70586     2.21206   0.0484556
         148     1.70687     2.20865   0.0482482
         149     1.70783     2.20528   0.0480414
         150     1.70874     2.20197    0.047835
         151      1.7096     2.19871   0.0476292
         152     1.71041      2.1955   0.0474241
         153     1.71118     2.19234   0.0472197
         154     1.71191     2.18922    0.047016
         155     1.71262     2.18614   0.0468131
         156     1.71331     2.18311    0.046611
         157       1.714     2.18012   0.0464098
         158     1.71471     2.17718   0.0462095
         159     1.71543     2.17427     0.04601
         160      1.7162     2.17141   0.0458114
         161     1.71702     2.16859   0.0456137
         162      1.7179      2.1658   0.0454169
         163     1.71886     2.16306    0.045221
         164      1.7199     2.16036   0.0450259
         165     1.72102      2.1577   0.0448317
         166     1.72222     2.15507   0.0446383
         167      1.7235     2.15249   0.0444458
         168     1.72485     2.14994    0.044254
         169     1.72626     2.14744   0.0440631
         170      1.7277     2.14497   0.0438731
         171     1.72916     2.14254   0.0436838
         172     1.73061     2.14014   0.0434954
         173     1.73203     2.13778    0.043308
         174     1.73338     2.13546   0.0431214
         175     1.73464     2.13317   0.0429358
         176     1.73579     2.13091   0.0427511
         177     1.73678     2.12868   0.0425675
         178     1.73761     2.12649   0.0423851
         179     1.73825     2.12432   0.0422037
         180     1.73867     2.12218   0.0420236
         181     1.73887     2.12006   0.0418448
         182     1.73883     2.11796   0.0416672
         183     1.73855     2.11589   0.0414911
         184     1.73803     2.11384   0.0413164
         185     1.73727      2.1118   0.0411432
         186     1.73628     2.10978   0.0409715
         187     1.73506     2.10778   0.0408014
         188     1.73364     2.10579   0.0406328
         189     1.73204     2.10381   0.0404659
         190     1.73027     2.10184   0.0403007
         191     1.72835     2.09989   0.0401371
         192      1.7263     2.09794   0.0399752
         193     1.72417     2.09601   0.0398149
         194     1.72196     2.09408   0.0396564
         195     1.71971     2.09216   0.0394994
         196     1.71744     2.09025   0.0393442
         197     1.71517     2.08834   0.0391905
         198     1.71293     2.08645   0.0390384
         199     1.71073     2.08456   0.0388878
         200      1.7086     2.08268   0.0387388
         201     1.70656     2.08081   0.0385913
         202     1.70462     2.07895   0.0384451
         203      1.7028     2.07709   0.0383004
         204     1.70112     2.07525   0.0381569
         205     1.69958     2.07342   0.0380148
         206      1.6982      2.0716   0.0378738
         207     1.69699     2.06979   0.0377341
         208     1.69595     2.06799   0.0375955
         209      1.6951      2.0662   0.0374579
         210     1.69445     2.06443   0.0373213
