BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.66184     1.66184           0
           2     1.63683     1.64934  0.00884248
           3      1.6732     1.65729  0.00877193
           4     1.64995     1.65546  0.00676841
           5     1.63441     1.65125  0.00659537
           6     1.64095     1.64953  0.00571485
           7     1.62649     1.64624  0.00576891
           8     1.66505     1.64859  0.00550638
           9     1.66588     1.65051  0.00521884
          10     1.66361     1.65182  0.00485846
          11     1.65835     1.65242  0.00445291
          12     1.66851     1.65376  0.00427914
          13     1.65522     1.65387  0.00395145
          14     1.64252     1.65306  0.00375137
          15     1.67412     1.65446  0.00375488
          16     1.64673     1.65398  0.00355119
          17     1.63488     1.65286  0.00351559
          18     1.67317     1.65398  0.00349679
          19      1.6651     1.65457  0.00336137
          20     1.64099     1.65389  0.00326113
          21     1.63988     1.65322  0.00317338
          22     1.62609     1.65199  0.00325999
          23     1.65833     1.65227  0.00312988
          24     1.64636     1.65202  0.00300912
          25      1.6436     1.65168  0.00290753
          26     1.62025     1.65047  0.00303665
          27     1.65159     1.65052  0.00292446
          28     1.65458     1.65066  0.00282362
          29     1.65034     1.65065  0.00272627
          30     1.66171     1.65102  0.00266022
          31     1.67232     1.65171  0.00266164
          32     1.65269     1.65174  0.00257864
          33     1.64163     1.65143  0.00251861
          34     1.66227     1.65175  0.00246463
          35     1.64644      1.6516  0.00239887
          36     1.63684     1.65119  0.00236698
          37     1.64593     1.65105  0.00230728
          38     1.66344     1.65137  0.00226948
          39     1.63899     1.65105  0.00223338
          40     1.65397     1.65113  0.00217873
          41     1.64177      1.6509   0.0021375
          42     1.64209     1.65069  0.00209688
          43     1.66169     1.65094  0.00206366
          44     1.66166     1.65119  0.00203108
          45     1.65911     1.65136  0.00199356
          46     1.64661     1.65126   0.0019529
          47     1.63386     1.65089  0.00194613
          48      1.6509     1.65089  0.00190558
          49     1.61682      1.6502  0.00198952
          50     1.65097     1.65021  0.00194979
          51     1.62583     1.64973   0.0019693
          52     1.62655     1.64929  0.00198127
          53     1.63534     1.64902  0.00196128
          54     1.64598     1.64897  0.00192577
          55     1.65688     1.64911  0.00189613
          56     1.62099     1.64861  0.00192762
          57     1.67346     1.64905  0.00194248
          58     1.63156     1.64874  0.00193224
          59     1.65529     1.64886  0.00190267
          60     1.65958     1.64903  0.00187934
          61     1.60306     1.64828  0.00199396
          62     1.63366     1.64804  0.00197569
          63     1.63465     1.64783  0.00195574
          64     1.67158      1.6482  0.00196008
          65     1.63361     1.64798  0.00194273
          66     1.61303     1.64745  0.00198415
          67     1.63955     1.64733  0.00195804
          68     1.62898     1.64706  0.00194774
          69     1.66052     1.64726  0.00192926
          70     1.65988     1.64744  0.00191012
          71     1.64623     1.64742  0.00188329
          72     1.66615     1.64768  0.00187502
          73     1.62962     1.64743  0.00186558
          74     1.63165     1.64722  0.00185251
          75     1.64738     1.64722  0.00182782
          76     1.65288      1.6473  0.00180528
          77     1.62813     1.64705  0.00179892
          78     1.66032     1.64722  0.00178388
          79     1.63804      1.6471  0.00176508
          80      1.6408     1.64702  0.00174477
          81     1.63279     1.64685  0.00173205
          82     1.62865     1.64662  0.00172508
          83     1.65495     1.64672  0.00170721
          84     1.64706     1.64673  0.00168689
          85     1.65663     1.64685  0.00167106
          86     1.64425     1.64682   0.0016519
          87     1.66783     1.64706  0.00165047
          88       1.635     1.64692   0.0016374
          89     1.62171     1.64664  0.00164332
          90      1.6506     1.64668  0.00162565
          91      1.6123      1.6463  0.00165111
          92     1.64737     1.64631   0.0016332
          93     1.64701     1.64632  0.00161566
          94     1.64917     1.64635  0.00159875
          95     1.68334     1.64674  0.00162866
          96     1.66569     1.64694  0.00162361
          97     1.65015     1.64697   0.0016072
          98       1.639     1.64689  0.00159286
          99      1.6598     1.64702   0.0015821
         100     1.62425     1.64679  0.00158258
