BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.46888    -5.46888           0
           2    -5.44468    -5.45678  0.00855866
           3    -5.48108    -5.46488  0.00873443
           4    -5.45764    -5.46307   0.0067359
           5    -5.44135    -5.45872   0.0066435
           6    -5.44862    -5.45704   0.0057459
           7    -5.43302    -5.45361   0.0058611
           8     -5.4713    -5.45582  0.00552984
           9    -5.47328    -5.45776  0.00524462
          10    -5.47209    -5.45919  0.00491215
          11    -5.46476     -5.4597  0.00449158
          12    -5.47612    -5.46107  0.00432073
          13    -5.46239    -5.46117  0.00398957
          14    -5.44982    -5.46036  0.00378607
          15    -5.48206     -5.4618  0.00379993
          16    -5.45338    -5.46128  0.00359877
          17    -5.44083    -5.46008  0.00358249
          18    -5.48195    -5.46129  0.00358375
          19    -5.47295     -5.4619  0.00344723
          20    -5.44842    -5.46123  0.00334014
          21    -5.44597     -5.4605   0.0032592
          22    -5.43186     -5.4592  0.00336111
          23    -5.46504    -5.45945  0.00322455
          24    -5.45303    -5.45919  0.00310127
          25    -5.45117    -5.45887  0.00299374
          26    -5.42532    -5.45758  0.00314441
          27     -5.4593    -5.45764   0.0030286
          28    -5.46043    -5.45774  0.00292207
          29    -5.45676    -5.45771  0.00282151
          30    -5.46877    -5.45808  0.00275144
          31    -5.47882    -5.45874  0.00274289
          32    -5.45946    -5.45877  0.00265727
          33    -5.44788    -5.45844  0.00259715
          34      -5.468    -5.45872  0.00253595
          35    -5.45309    -5.45856   0.0024686
          36    -5.44283    -5.45812  0.00243838
          37    -5.45307    -5.45798   0.0023763
          38    -5.47004     -5.4583  0.00233484
          39    -5.44453    -5.45795  0.00230154
          40    -5.45966    -5.45799   0.0022444
          41     -5.4479    -5.45774  0.00220312
          42    -5.44709    -5.45749  0.00216521
          43    -5.46843    -5.45775  0.00212976
          44    -5.46846    -5.45799  0.00209524
          45    -5.46729     -5.4582  0.00205885
          46    -5.45324    -5.45809   0.0020169
          47    -5.43953    -5.45769  0.00201226
          48    -5.45728    -5.45768  0.00197036
          49    -5.42414      -5.457   0.0020456
          50    -5.45841    -5.45703  0.00200489
          51    -5.43207    -5.45654  0.00202444
          52     -5.4317    -5.45606  0.00204106
          53    -5.44165    -5.45579  0.00202059
          54    -5.45266    -5.45573    0.001984
          55     -5.4633    -5.45587   0.0019527
          56    -5.42603    -5.45534  0.00198919
          57    -5.47931    -5.45576  0.00199825
          58    -5.43667    -5.45543  0.00199072
          59    -5.46256    -5.45555  0.00196065
          60    -5.46586    -5.45572  0.00193549
          61    -5.40896    -5.45495  0.00204996
          62    -5.44125    -5.45473  0.00202878
          63    -5.44145    -5.45452  0.00200749
          64    -5.47821    -5.45489  0.00200997
          65    -5.43908    -5.45465  0.00199372
          66    -5.41787    -5.45409   0.0020399
          67    -5.44563    -5.45397  0.00201336
          68    -5.43388    -5.45367   0.0020053
          69      -5.466    -5.45385  0.00198419
          70    -5.46701    -5.45404  0.00196473
          71    -5.45136      -5.454  0.00193742
          72    -5.47345    -5.45427  0.00192925
          73    -5.43496      -5.454  0.00192086
          74    -5.43781    -5.45379  0.00190732
          75    -5.45287    -5.45377  0.00188193
          76    -5.46044    -5.45386  0.00185921
          77    -5.43365     -5.4536   0.0018535
          78    -5.46681    -5.45377  0.00183746
          79    -5.44422    -5.45365  0.00181817
          80    -5.44727    -5.45357  0.00179718
          81    -5.43964     -5.4534   0.0017832
          82    -5.43531    -5.45318  0.00177504
          83     -5.4623    -5.45328  0.00175706
          84    -5.45462     -5.4533  0.00173622
          85    -5.46318    -5.45342  0.00171968
          86    -5.44908    -5.45337  0.00170042
          87    -5.47565    -5.45362  0.00170006
          88    -5.44068    -5.45348  0.00168709
          89     -5.4278    -5.45319  0.00169262
          90    -5.45623    -5.45322  0.00167416
          91    -5.41803    -5.45283  0.00169984
          92    -5.45507    -5.45286  0.00168154
          93    -5.45367    -5.45287  0.00166348
          94    -5.45641    -5.45291  0.00164621
          95    -5.49257    -5.45332  0.00168101
          96    -5.47319    -5.45353  0.00167619
          97      -5.457    -5.45357  0.00165929
          98    -5.44458    -5.45347  0.00164489
          99    -5.46575     -5.4536  0.00163294
         100    -5.42989    -5.45336  0.00163374
