BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.10789     1.10789           0
           2     1.09122     1.09956  0.00589499
           3     1.11547     1.10486  0.00584796
           4     1.09996     1.10364  0.00451227
           5      1.0896     1.10083  0.00439692
           6     1.09397     1.09969   0.0038099
           7     1.08433     1.09749  0.00384594
           8     1.11004     1.09906  0.00367092
           9     1.11059     1.10034  0.00347923
          10     1.10907     1.10121  0.00323897
          11     1.10557     1.10161  0.00296861
          12     1.11234      1.1025  0.00285276
          13     1.10348     1.10258   0.0026343
          14     1.09502     1.10204  0.00250092
          15     1.11608     1.10298  0.00250325
          16     1.09782     1.10265  0.00236746
          17     1.08992      1.1019  0.00234373
          18     1.11545     1.10266  0.00233119
          19     1.11007     1.10305  0.00224092
          20       1.094     1.10259  0.00217409
          21     1.09325     1.10215  0.00211559
          22     1.08406     1.10133  0.00217332
          23     1.10555     1.10151  0.00208659
          24     1.09758     1.10135  0.00200608
          25     1.09573     1.10112  0.00193835
          26     1.08017     1.10032  0.00202443
          27     1.10106     1.10034  0.00194964
          28     1.10305     1.10044  0.00188241
          29     1.10023     1.10043  0.00181752
          30     1.10781     1.10068  0.00177348
          31     1.11488     1.10114  0.00177443
          32     1.10179     1.10116   0.0017191
          33     1.09442     1.10095  0.00167907
          34     1.10818     1.10117  0.00164309
          35     1.09763     1.10107  0.00159925
          36     1.09123     1.10079  0.00157799
          37     1.09728      1.1007  0.00153818
          38     1.10896     1.10091  0.00151298
          39     1.09266      1.1007  0.00148892
          40     1.10265     1.10075  0.00145249
          41     1.09451      1.1006    0.001425
          42     1.09473     1.10046  0.00139792
          43     1.10779     1.10063  0.00137577
          44     1.10777     1.10079  0.00135405
          45     1.10607     1.10091  0.00132904
          46     1.09774     1.10084  0.00130193
          47     1.08924     1.10059  0.00129742
          48      1.1006     1.10059  0.00127039
          49     1.07788     1.10013  0.00132635
          50     1.10065     1.10014  0.00129986
          51     1.08389     1.09982  0.00131287
          52     1.08436     1.09952  0.00132085
          53     1.09023     1.09935  0.00130752
          54     1.09732     1.09931  0.00128385
          55     1.10459     1.09941  0.00126408
          56     1.08066     1.09907  0.00128508
          57     1.11564     1.09936  0.00129498
          58     1.08771     1.09916  0.00128816
          59     1.10353     1.09924  0.00126844
          60     1.10639     1.09936  0.00125289
          61      1.0687     1.09885  0.00132931
          62     1.08911      1.0987  0.00131713
          63     1.08976     1.09855  0.00130383
          64     1.11439      1.0988  0.00130672
          65     1.08908     1.09865  0.00129515
          66     1.07535      1.0983  0.00132277
          67     1.09303     1.09822  0.00130536
          68     1.08599     1.09804   0.0012985
          69     1.10702     1.09817  0.00128617
          70     1.10659     1.09829  0.00127341
          71     1.09749     1.09828  0.00125553
          72     1.11077     1.09845  0.00125001
          73     1.08642     1.09829  0.00124372
          74     1.08777     1.09815  0.00123501
          75     1.09825     1.09815  0.00121854
          76     1.10192      1.0982  0.00120352
          77     1.08542     1.09803  0.00119928
          78     1.10688     1.09814  0.00118925
          79     1.09203     1.09807  0.00117672
          80     1.09387     1.09801  0.00116318
          81     1.08853      1.0979   0.0011547
          82     1.08577     1.09775  0.00115005
          83      1.1033     1.09782  0.00113814
          84     1.09804     1.09782  0.00112459
          85     1.10442      1.0979  0.00111404
          86     1.09617     1.09788  0.00110127
          87     1.11188     1.09804  0.00110032
          88        1.09     1.09795   0.0010916
          89     1.08114     1.09776  0.00109555
          90      1.1004     1.09779  0.00108377
          91     1.07487     1.09754  0.00110074
          92     1.09824     1.09754   0.0010888
          93     1.09801     1.09755  0.00107711
          94     1.09944     1.09757  0.00106584
          95     1.12223     1.09783  0.00108577
          96     1.11046     1.09796   0.0010824
          97      1.1001     1.09798  0.00107147
          98     1.09266     1.09793  0.00106191
          99     1.10653     1.09801  0.00105473
         100     1.08283     1.09786  0.00105505
