n_block      H_average        errore
1      -0.442222              0
2       -0.44273    0.000508561
3       -0.43924     0.00350249
4      -0.439738     0.00252621
5      -0.443056     0.00385156
6      -0.442705     0.00316428
7      -0.442101     0.00274155
8      -0.436396     0.00617981
9      -0.435554     0.00551478
10      -0.433908     0.00519972
11      -0.435066      0.0048436
12      -0.434751     0.00443274
13      -0.434346     0.00409763
14      -0.433473      0.0038929
15       -0.43432      0.0037219
16      -0.433129     0.00367961
17      -0.433726      0.0035076
18      -0.434748     0.00346111
19      -0.435806     0.00344079
20      -0.436691     0.00338201
21      -0.437162     0.00325124
22      -0.436849     0.00311575
23      -0.436876     0.00297733
24      -0.437001      0.0028533
25      -0.436733     0.00274982
26      -0.436837     0.00264396
27      -0.436787     0.00254464
28      -0.436791     0.00245208
29      -0.436908     0.00236891
30      -0.437154     0.00230177
31      -0.437237     0.00222782
32      -0.436797     0.00220154
33      -0.436452     0.00216143
34      -0.436325     0.00210071
35      -0.436893      0.0021173
36      -0.436357     0.00212623
37      -0.436252     0.00207066
38      -0.436507     0.00203153
39      -0.436453     0.00197949
40      -0.436139     0.00195467
41       -0.43614      0.0019064
42      -0.436142     0.00186046
43      -0.435776     0.00185322
44      -0.436093     0.00183824
45      -0.435607     0.00186147
46      -0.435409     0.00183134
47      -0.435094     0.00181944
48      -0.435054     0.00178158
49      -0.435307     0.00176308
50      -0.435345     0.00172788
51      -0.435589      0.0017112
52      -0.435338     0.00169668
53      -0.435799     0.00172691
54      -0.436009     0.00170768
55      -0.436027     0.00167643
56      -0.436068     0.00164674
57      -0.436341     0.00164052
58      -0.436544     0.00162468
59      -0.436797     0.00161687
60      -0.436438     0.00162979
61       -0.43661     0.00161208
62      -0.436278     0.00162033
63      -0.436451     0.00160374
64      -0.436377     0.00158021
65      -0.436632     0.00157647
66      -0.436863      0.0015696
67      -0.436997     0.00155175
68      -0.436591     0.00158184
69      -0.436701     0.00156268
70        -0.4368     0.00154334
71      -0.436715     0.00152379
72      -0.436963     0.00152278
73      -0.437102     0.00150813
74      -0.437132     0.00148792
75      -0.437069     0.00146929
76      -0.437138     0.00145144
77      -0.437015     0.00143766
78      -0.436981     0.00141953
79      -0.437075     0.00140461
80      -0.437198     0.00139237
81      -0.437143     0.00137614
82      -0.437172     0.00135957
83      -0.437315     0.00135066
84      -0.437526     0.00135095
85      -0.437483     0.00133563
86      -0.437634     0.00132854
87      -0.437562     0.00131513
88      -0.437567     0.00130011
89      -0.437491      0.0012877
90      -0.437707     0.00129151
91      -0.437488     0.00129588
92      -0.437505     0.00128183
93      -0.437603     0.00127175
94      -0.437699     0.00126183
95      -0.437559     0.00125638
96      -0.437773     0.00126159
97      -0.437875     0.00125264
98      -0.437901     0.00124007
99      -0.437769      0.0012345
100      -0.438089     0.00126308
