n_block      H_average        errore
1 -0.427659 0
2 -0.426798 0.000860284
3 -0.456722 0.0299273
4 -0.432415 0.0322279
5 -0.439648 0.0259905
6 -0.420902 0.0283155
7 -0.429903 0.0255676
8 -0.415778 0.0262634
9 -0.421861 0.0239475
10 -0.430823 0.0232188
11 -0.431604 0.0210167
12 -0.421258 0.0217974
13 -0.421201 0.0200508
14 -0.428303 0.0198753
15 -0.431085 0.018711
16 -0.43782 0.0187536
17 -0.434052 0.0180144
18 -0.43798 0.0174324
19 -0.432724 0.0173069
20 -0.432752 0.0164188
21 -0.433277 0.0156262
22 -0.432944 0.0149027
23 -0.435595 0.0144846
24 -0.43863 0.0141964
25 -0.439925 0.0136781
26 -0.438134 0.0132629
27 -0.439087 0.0127977
28 -0.443078 0.0129619
29 -0.446881 0.0130722
30 -0.447949 0.0126741
31 -0.451625 0.0127978
32 -0.453856 0.0125907
33 -0.451068 0.0125176
34 -0.451107 0.0121439
35 -0.448204 0.0121439
36 -0.444976 0.0122353
37 -0.443904 0.0119482
38 -0.443019 0.0116631
39 -0.442281 0.0113841
40 -0.441659 0.0111133
41 -0.441627 0.0108389
42 -0.442268 0.0105971
43 -0.437839 0.0112558
44 -0.437858 0.010997
45 -0.438367 0.0107619
46 -0.437493 0.0105616
47 -0.43752 0.0103345
48 -0.437506 0.0101169
49 -0.435594 0.0100911
50 -0.437196 0.0100162
51 -0.435805 0.00991593
52 -0.436429 0.00974337
53 -0.438802 0.00984802
54 -0.439537 0.00969185
55 -0.439521 0.00951402
56 -0.440588 0.00940325
57 -0.440745 0.00923815
58 -0.442939 0.00933889
59 -0.442954 0.00917925
60 -0.441492 0.00914259
61 -0.442767 0.0090814
62 -0.442659 0.00893438
63 -0.439126 0.00947484
64 -0.438186 0.00937292
65 -0.438013 0.00922921
66 -0.437945 0.00908855
67 -0.43705 0.00899654
68 -0.436094 0.00891461
69 -0.435006 0.00885158
70 -0.435118 0.00872493
71 -0.435223 0.00860181
72 -0.43523 0.0084815
73 -0.435145 0.00836494
74 -0.434639 0.00826663
75 -0.436569 0.008381
76 -0.437801 0.00836122
77 -0.438228 0.00826297
78 -0.438984 0.0081913
79 -0.439475 0.00810182
80 -0.438647 0.00804264
81 -0.43816 0.00795765
82 -0.438296 0.00786119
83 -0.437812 0.007781
84 -0.438467 0.00771569
85 -0.438144 0.00763121
86 -0.439192 0.0076144
87 -0.438416 0.00756625
88 -0.438272 0.00748117
89 -0.438817 0.00741672
90 -0.438326 0.00735029
91 -0.437824 0.0072864
92 -0.439359 0.00736851
93 -0.438575 0.0073309
94 -0.439371 0.00729605
95 -0.439052 0.0072259
96 -0.438969 0.00715071
97 -0.43917 0.00707944
98 -0.439435 0.00701184
99 -0.438981 0.00695548
100 -0.43947 0.00690293
101 -0.440252 0.00687886
102 -0.442053 0.0070451
103 -0.442363 0.00698326
104 -0.443385 0.00699089
105 -0.444201 0.00697198
106 -0.444181 0.00690592
107 -0.445241 0.00692279
108 -0.445332 0.00685899
109 -0.445686 0.00680495
110 -0.446276 0.00676863
111 -0.446111 0.0067094
112 -0.446133 0.00664926
113 -0.445351 0.00663645
114 -0.44535 0.00657798
115 -0.445067 0.00652666
116 -0.445985 0.00653502
117 -0.446365 0.00649005
118 -0.447337 0.0065078
119 -0.448273 0.00652041
120 -0.448967 0.00650294
121 -0.448517 0.00646465
122 -0.448832 0.0064192
123 -0.448945 0.00636779
124 -0.448844 0.00631704
125 -0.447808 0.00635131
126 -0.448118 0.0063083
127 -0.448854 0.00630163
128 -0.448878 0.00625225
129 -0.448518 0.00621405
130 -0.44886 0.00617558
131 -0.448877 0.00612828
132 -0.449009 0.00608311
133 -0.448877 0.00603865
134 -0.449302 0.00600848
135 -0.449239 0.00596415
136 -0.448191 0.00601201
137 -0.448436 0.00597296
138 -0.449051 0.00596135
139 -0.449504 0.00593562
140 -0.449135 0.00590459
141 -0.449054 0.00586312
142 -0.448584 0.00584069
143 -0.447658 0.00587303
144 -0.44739 0.00583826
145 -0.446847 0.00582323
146 -0.44582 0.00587377
147 -0.445445 0.00584569
148 -0.445373 0.00580651
149 -0.44527 0.00576834
150 -0.44533 0.00573007
151 -0.445583 0.00569765
152 -0.445251 0.00566979
153 -0.445419 0.0056351
154 -0.445175 0.00560368
155 -0.445327 0.00556949
156 -0.445385 0.00553397
157 -0.445356 0.00549868
158 -0.44574 0.00547728
159 -0.445939 0.00544635
