n_block              T     sigma             mu            <H>         H_err
1 1 0.605219 1.12334 0.0106703 0.00401301
2 0.5 0.546186 1.03255 -0.193215 0.00233612
3 0.333333 0.546186 1.03255 -0.193215 0.0104853
4 0.25 0.702316 1.00279 -0.182703 0.00489278
5 0.2 0.727733 1.00386 -0.13104 0.00561073
6 0.166667 0.722909 0.865079 -0.344497 0.00329035
7 0.142857 0.636352 0.795593 -0.440341 0.00113479
8 0.125 0.531679 0.829084 -0.365418 0.00248357
9 0.111111 0.549854 0.771451 -0.401014 0.00193438
10 0.1 0.549854 0.771451 -0.401014 0.00453623
11 0.0909091 0.625951 0.757119 -0.433638 0.00128056
12 0.0833333 0.66421 0.874663 -0.402831 0.00200741
13 0.0769231 0.66421 0.874663 -0.402831 0.00354365
14 0.0714286 0.637812 0.869528 -0.421139 0.00195136
15 0.0666667 0.660842 0.907708 -0.378054 0.0026262
16 0.0625 0.674895 0.905474 -0.369977 0.00257916
17 0.0588235 0.643524 0.916164 -0.384371 0.00236927
18 0.0555556 0.635339 0.908734 -0.389203 0.00195929
19 0.0526316 0.663085 0.866059 -0.409094 0.00212881
20 0.05 0.648427 0.838913 -0.42961 0.00175119
21 0.047619 0.648427 0.838913 -0.42961 0.00317897
22 0.0454545 0.65007 0.842664 -0.425251 0.002062
23 0.0434783 0.660562 0.86453 -0.412281 0.0019533
24 0.0416667 0.652364 0.856913 -0.418704 0.00189766
25 0.04 0.648059 0.858066 -0.42532 0.0018856
26 0.0384615 0.704313 0.869954 -0.364086 0.00292005
27 0.037037 0.704313 0.869954 -0.364086 0.00367831
28 0.0357143 0.74057 0.839187 -0.343749 0.00366819
29 0.0344828 0.724077 0.838336 -0.360403 0.00343192
30 0.0333333 0.736067 0.847539 -0.33946 0.00351268
31 0.0322581 0.736067 0.847539 -0.33946 0.00352524
32 0.03125 0.704981 0.874077 -0.36472 0.00290487
33 0.030303 0.680727 0.874276 -0.38483 0.0028307
34 0.0294118 0.682984 0.854831 -0.394692 0.00273805
35 0.0285714 0.665228 0.830976 -0.421052 0.0018784
36 0.0277778 0.659396 0.851004 -0.41768 0.00206327
37 0.027027 0.661847 0.838149 -0.421476 0.00173055
38 0.0263158 0.681621 0.831088 -0.409739 0.00202733
39 0.025641 0.681621 0.831088 -0.409739 0.00245093
40 0.025 0.674712 0.808516 -0.423154 0.00181359
41 0.0243902 0.683887 0.79773 -0.417541 0.00205004
42 0.0238095 0.684718 0.796333 -0.418928 0.00194874
43 0.0232558 0.671034 0.799157 -0.426989 0.00158557
44 0.0227273 0.683158 0.813764 -0.415293 0.00196846
45 0.0222222 0.686987 0.806092 -0.410876 0.00208053
46 0.0217391 0.694773 0.811506 -0.407119 0.00206014
47 0.0212766 0.698583 0.81446 -0.40341 0.0023028
48 0.0208333 0.697989 0.814568 -0.406015 0.00229524
49 0.0204082 0.682246 0.817884 -0.412665 0.00176079
50 0.02 0.664401 0.822704 -0.425481 0.00170887
51 0.0196078 0.655853 0.829194 -0.429504 0.00168982
52 0.0192308 0.656713 0.825066 -0.427391 0.00180146
53 0.0188679 0.651986 0.829456 -0.431678 0.00168241
54 0.0185185 0.641397 0.815177 -0.439096 0.00169641
55 0.0181818 0.648389 0.81287 -0.435262 0.00157247
56 0.0178571 0.641964 0.814064 -0.438609 0.0014317
57 0.0175439 0.630964 0.821549 -0.439538 0.00125464
58 0.0172414 0.626319 0.831036 -0.439397 0.00132824
59 0.0169492 0.615799 0.838895 -0.440981 0.00138726
60 0.0166667 0.608395 0.849364 -0.432275 0.00154196
61 0.0163934 0.598353 0.843498 -0.433351 0.00135417
62 0.016129 0.58976 0.844111 -0.431685 0.00159809
63 0.015873 0.583835 0.846618 -0.426896 0.00142328
64 0.015625 0.578066 0.855764 -0.421016 0.00164013
65 0.0153846 0.582964 0.868871 -0.417712 0.00151208
66 0.0151515 0.590147 0.8706 -0.420517 0.00168855
67 0.0149254 0.590147 0.8706 -0.420517 0.0018011
68 0.0147059 0.59482 0.870063 -0.420961 0.00152334
69 0.0144928 0.593275 0.869474 -0.422146 0.00159946
70 0.0142857 0.593275 0.869474 -0.422146 0.00153109
71 0.0140845 0.598467 0.874464 -0.417794 0.00160432
72 0.0138889 0.602748 0.87235 -0.423421 0.00147508
73 0.0136986 0.619503 0.867459 -0.426572 0.00151734
74 0.0135135 0.60949 0.864096 -0.428909 0.00144952
75 0.0133333 0.595616 0.853906 -0.430561 0.00135415
76 0.0131579 0.605303 0.851601 -0.433172 0.00143252
77 0.012987 0.609045 0.859179 -0.433274 0.00150025
78 0.0128205 0.608497 0.848744 -0.433216 0.00143217
79 0.0126582 0.612379 0.843142 -0.437522 0.00151891
80 0.0125 0.612379 0.843142 -0.437522 0.00151061
81 0.0123457 0.617842 0.844106 -0.433953 0.00155379
82 0.0121951 0.622459 0.846776 -0.435164 0.00161072
83 0.0120482 0.613829 0.84617 -0.437149 0.00139312
84 0.0119048 0.616145 0.840942 -0.436991 0.00144518
85 0.0117647 0.616145 0.840942 -0.436991 0.00141698
86 0.0116279 0.617953 0.840135 -0.438698 0.00130666
87 0.0114943 0.622727 0.837052 -0.438205 0.00127831
88 0.0113636 0.61502 0.841962 -0.436127 0.00130952
89 0.011236 0.621586 0.841521 -0.436161 0.00151919
90 0.0111111 0.612001 0.845373 -0.43793 0.00131234
91 0.010989 0.616228 0.847138 -0.436861 0.00168969
92 0.0108696 0.610826 0.843109 -0.436143 0.00148709
93 0.0107527 0.605552 0.83881 -0.439245 0.00149111
94 0.0106383 0.610332 0.841123 -0.437903 0.00141889
95 0.0105263 0.615094 0.850873 -0.434911 0.00149706
96 0.0104167 0.61224 0.848105 -0.433745 0.00155793
97 0.0103093 0.613174 0.840836 -0.43816 0.00145607
98 0.0102041 0.606047 0.835392 -0.439064 0.00136587
99 0.010101 0.604184 0.833051 -0.436133 0.00153675
100 0.01 0.60515 0.830977 -0.439404 0.00115446
101 0.00990099 0.598558 0.827954 -0.438904 0.0013742
102 0.00980392 0.593318 0.82713 -0.438922 0.00131955
103 0.00970874 0.599851 0.829213 -0.439271 0.00135526
104 0.00961538 0.603911 0.830545 -0.441232 0.00113742
105 0.00952381 0.597611 0.826202 -0.439792 0.00118435
106 0.00943396 0.597611 0.826202 -0.439792 0.0013496
107 0.00934579 0.600034 0.82526 -0.44051 0.00119346
108 0.00925926 0.594163 0.827547 -0.437847 0.00142432
109 0.00917431 0.595596 0.829669 -0.439867 0.00134769
110 0.00909091 0.595596 0.829669 -0.439867 0.00116615
111 0.00900901 0.595596 0.829669 -0.439867 0.00130022
112 0.00892857 0.596133 0.831028 -0.437438 0.00147871
113 0.00884956 0.593702 0.827522 -0.436561 0.0014184
114 0.00877193 0.589116 0.826209 -0.434127 0.00153852
115 0.00869565 0.584388 0.825268 -0.435006 0.00156487
116 0.00862069 0.586426 0.832337 -0.43118 0.00155178
117 0.00854701 0.590066 0.833717 -0.433417 0.00149312
118 0.00847458 0.586882 0.834338 -0.430417 0.00155897
119 0.00840336 0.581875 0.833495 -0.430246 0.00149297
120 0.00833333 0.577109 0.830972 -0.427693 0.00149404
121 0.00826446 0.5757 0.833938 -0.423748 0.00187921
122 0.00819672 0.578319 0.8316 -0.428328 0.00175565
123 0.00813008 0.577807 0.831149 -0.427732 0.00150555
124 0.00806452 0.577807 0.831149 -0.427732 0.00167016
125 0.008 0.576199 0.830989 -0.426545 0.00150091
126 0.00793651 0.577583 0.830463 -0.42681 0.00171936
127 0.00787402 0.583769 0.826892 -0.432499 0.0014181
128 0.0078125 0.587668 0.821677 -0.436496 0.00151732
129 0.00775194 0.583563 0.820753 -0.433782 0.0013879
130 0.00769231 0.579402 0.817032 -0.431548 0.00143769
131 0.00763359 0.574971 0.815974 -0.427532 0.00152611
132 0.00757576 0.580042 0.811629 -0.432014 0.00140963
133 0.0075188 0.578614 0.81392 -0.434007 0.00170454
134 0.00746269 0.578614 0.81392 -0.434007 0.00158826
135 0.00740741 0.585377 0.814499 -0.435428 0.00123144
136 0.00735294 0.587138 0.814327 -0.435615 0.001447
137 0.00729927 0.582197 0.816409 -0.434549 0.00150245
138 0.00724638 0.581793 0.821819 -0.434571 0.00141022
139 0.00719424 0.58595 0.821643 -0.43425 0.00164136
140 0.00714286 0.585247 0.817121 -0.435385 0.00153469
141 0.0070922 0.590265 0.821991 -0.438487 0.00141818
