n_block              T     sigma             mu            <H>         H_err
1 100 1.04934 0.921044 0.607436 0.015815
2 33.3333 0.976704 0.897431 0.273581 0.0122565
3 16.6667 1.07645 1.0689 1.45635 0.0231934
4 10 1.02883 1.1938 1.9659 0.0240578
5 6.66667 1.03097 1.21922 2.22245 0.0284096
6 4.7619 0.697902 1.21343 0.553901 0.00791733
7 3.57143 0.503341 1.09225 -0.0131042 0.00239874
8 2.77778 0.610514 0.924775 -0.380138 0.0019401
9 2.22222 0.403032 0.957491 0.290431 0.00613433
10 1.81818 0.468949 0.823951 -0.158193 0.00399149
11 1.51515 0.405888 0.991364 0.291762 0.00562352
12 1.28205 0.970099 1.08319 0.97748 0.0184192
13 1.0989 0.970099 1.08319 0.97748 0.0269903
14 0.952381 0.941345 1.00927 0.515825 0.0139754
15 0.833333 1.17043 1.07836 2.09479 0.0283024
16 0.735294 1.15613 1.12333 2.26601 0.030308
17 0.653595 1.22882 1.01667 2.03443 0.0351679
18 0.584795 1.17533 0.987204 1.48832 0.0266693
19 0.526316 0.850995 1.09264 0.510495 0.011342
20 0.47619 0.633822 1.03401 -0.195551 0.00316407
21 0.4329 0.633822 1.03401 -0.195551 0.0129686
22 0.395257 0.666831 1.04124 -0.1417 0.00434105
23 0.362319 0.666831 1.04124 -0.1417 0.0107637
24 0.333333 0.593702 1.00189 -0.277272 0.00227577
25 0.307692 0.605235 0.980358 -0.313762 0.002
26 0.2849 0.605235 0.980358 -0.313762 0.0120093
27 0.26455 0.605235 0.980358 -0.313762 0.00569719
28 0.246305 0.605235 0.980358 -0.313762 0.0202072
29 0.229885 0.595367 0.884697 -0.415862 0.00159013
30 0.215054 0.705801 0.956634 -0.256081 0.00416159
31 0.201613 0.705801 0.956634 -0.256081 0.0038819
32 0.189394 0.705801 0.956634 -0.256081 0.00978871
33 0.178253 0.708435 0.796559 -0.394744 0.00250024
34 0.168067 0.708435 0.796559 -0.394744 0.00605474
35 0.15873 0.708435 0.796559 -0.394744 0.00993102
36 0.15015 0.708435 0.796559 -0.394744 0.00896309
37 0.142248 0.518172 0.814699 -0.342731 0.00315627
38 0.134953 0.518172 0.814699 -0.342731 0.00549789
39 0.128205 0.518172 0.814699 -0.342731 0.00277288
40 0.121951 0.518172 0.814699 -0.342731 0.0446597
41 0.116144 0.518172 0.814699 -0.342731 0.0109283
42 0.110742 0.494715 0.821679 -0.259768 0.00344878
43 0.105708 0.543285 0.703995 -0.369293 0.00212192
44 0.10101 0.80036 0.81069 -0.276247 0.00501788
45 0.0966184 0.662269 0.84515 -0.420454 0.00219453
46 0.0925069 0.662269 0.84515 -0.420454 0.00433264
47 0.0886525 0.662269 0.84515 -0.420454 0.00346034
48 0.085034 0.664328 0.839449 -0.42001 0.00174237
49 0.0816327 0.664328 0.839449 -0.42001 0.00219404
50 0.0784314 0.664328 0.839449 -0.42001 0.00242202
51 0.0754148 0.664328 0.839449 -0.42001 0.00394991
52 0.0725689 0.578465 0.848394 -0.423139 0.00156388
53 0.0698812 0.671535 0.798283 -0.425544 0.00156709
54 0.0673401 0.671535 0.798283 -0.425544 0.0107388
55 0.0649351 0.620789 0.875189 -0.418937 0.00158091
56 0.0626566 0.647538 0.803234 -0.435934 0.00148541
57 0.0604961 0.647538 0.803234 -0.435934 0.00300705
58 0.0584454 0.647538 0.803234 -0.435934 0.00545205
59 0.0564972 0.647538 0.803234 -0.435934 0.00343898
60 0.0546448 0.647538 0.803234 -0.435934 0.00426664
61 0.0528821 0.647538 0.803234 -0.435934 0.00319469
62 0.0512033 0.662729 0.696677 -0.400602 0.0014151
63 0.0496032 0.725912 0.622025 -0.340884 0.00218167
64 0.0480769 0.725912 0.622025 -0.340884 0.00460888
65 0.04662 0.725912 0.622025 -0.340884 0.00921923
66 0.0452284 0.771556 0.716832 -0.34267 0.00322567
67 0.0438982 0.771556 0.716832 -0.34267 0.00327218
68 0.0426257 0.756949 0.780394 -0.350535 0.00303179
69 0.0414079 0.740682 0.759072 -0.370757 0.00292401
70 0.0402414 0.740682 0.759072 -0.370757 0.0134737
