N  Half_pop_ave        L
1   38.843   31.9339
2   36.8923   32.5712
3   35.1403   31.3768
4   35.1593   31.3768
5   35.1943   31.3768
6   33.5414   28.6796
7   32.6638   27.2839
8   31.7766   24.61
9   29.9491   24.1236
10   29.9186   24.1236
11   28.4882   21.6875
12   26.5178   21.6875
13   25.0844   21.6875
14   23.6876   21.3266
15   23.2029   20.5526
16   23.2241   20.5526
17   23.107   20.3991
18   21.7381   19.2935
19   21.8003   19.2935
20   20.8381   19.1512
21   20.4097   17.6773
22   20.4402   17.6773
23   20.4583   17.6773
24   20.4842   17.6773
25   19.9387   17.6773
26   19.057   16.7055
27   18.8638   16.7055
28   18.8845   16.7055
29   18.9233   16.7055
30   18.953   16.7055
31   18.961   16.7055
32   18.7555   16.7055
33   18.7888   16.7055
34   18.2939   16.7055
35   18.0564   16.4733
36   18.1058   16.4733
37   17.9254   16.4733
38   17.9578   16.4733
39   17.9578   16.4733
40   17.4335   16.3313
41   17.4545   16.29
42   17.2787   16.29
43   17.3854   16.29
44   17.4271   16.0677
45   17.6009   16.0677
46   17.8939   16.0677
47   18.0089   14.7017
48   18.116   13.9248
49   17.7957   13.431
50   16.7359   13.431
51   16.7644   13.431
52   15.7409   13.431
53   15.2722   13.431
54   14.5602   13.3922
55   14.6614   13.3922
56   14.68   13.3922
57   14.4464   13.3911
58   14.1981   13.1591
59   14.2418   13.1591
60   13.7513   13.1591
61   13.74   12.9829
62   13.8451   12.9796
63   14.1307   12.9786
64   14.1819   12.9786
65   14.2073   12.9786
66   14.1838   12.9796
67   14.1838   12.9796
68   14.2606   12.9567
69   14.0832   12.9567
70   14.0832   12.9567
71   14.1243   12.9567
72   14.1336   12.9567
73   14.3194   12.9534
74   14.2451   12.9524
75   13.946   12.9463
76   13.946   12.9463
77   13.7631   12.9029
78   13.8064   12.9029
79   13.6106   12.8969
80   13.5917   12.8969
81   13.6027   12.8969
82   13.254   12.8668
83   13.3275   12.6602
84   13.3275   12.6602
85   13.3678   12.6107
86   14.0101   12.5969
87   13.8121   12.5969
88   13.8121   12.5969
89   13.8121   12.5969
90   13.8501   12.5969
91   13.7332   12.5668
92   14.2002   12.5668
93   14.2137   12.5668
94   14.6512   12.5668
95   14.3405   12.5335
96   14.0489   11.347
97   13.7501   11.347
98   13.5718   11.347
99   13.135   11.0994
100   12.475   11.0994
101   12.079   11.0994
102   12.0951   11.0994
103   12.118   11.0994
104   11.7346   11.0994
105   11.5638   11.0994
106   11.5862   11.0994
107   11.6193   11.0994
108   11.6195   11.0994
109   11.5107   11.0994
110   11.4227   10.0956
111   11.8464   10.0956
112   11.5769   10.0956
113   11.5769   10.0956
114   11.4979   10.0956
115   11.4979   10.0956
116   11.1333   10.0956
117   10.9934   10.0956
118   11.0284   10.0956
119   11.3348   10.0738
120   11.4111   10.0738
121   11.5649   9.87814
122   11.2306   9.87814
123   10.7843   9.85638
124   10.8393   9.85638
125   10.8801   9.85638
126   10.6932   9.85638
127   10.3028   9.83991
128   10.3028   9.83991
129   10.3082   9.83991
130   10.3082   9.83991
131   10.4522   9.61353
132   10.4522   9.61353
133   10.5239   9.61353
134   10.5251   9.61353
135   11.1309   9.59177
136   11.1644   9.59177
137   11.1644   9.59177
138   10.9882   9.59177
139   10.9882   9.59177
140   11.003   9.59177
141   11.1571   9.59177
142   11.205   9.59177
143   10.8391   9.59177
144   10.8659   9.59177
145   10.4115   9.59177
146   10.3749   9.59177
147   10.4225   9.59177
148   10.2174   9.59177
149   10.2327   9.59177
150   9.94095   9.59177
151   10.2365   9.59177
152   10.214   9.59177
153   10.3051   9.59177
154   10.2811   9.59177
155   10.2811   9.59177
156   10.2648   9.59177
157   11.0176   9.59177
158   10.6289   9.59177
159   10.6289   9.59177
160   10.6688   9.59177
161   9.90469   9.58446
162   10.1978   9.58446
163   10.1377   9.58446
164   10.0028   9.58446
165   10.0438   9.58446
166   10.0847   9.58446
167   10.1683   9.58446
168   10.1975   9.58446
169   10.2077   9.16039
170   10.2472   9.16039
171   10.1108   9.15307
172   10.1471   9.15307
173   10.1863   9.15307
174   10.2659   9.15307
175   9.93435   9.15307
176   9.94298   9.15307
177   9.89982   9.15307
178   9.64655   9.15307
179   9.75425   9.1505
180   9.66884   9.1505
181   9.70269   9.1505
182   9.69883   9.1505
183   9.65538   9.1505
184   10.0628   9.1505
185   9.88962   9.1505
186   9.63671   9.1505
187   10.1849   9.1505
188   10.3208   9.14768
189   10.2023   9.14768
