N   Half_pop_ave        L
1   17.1323   13.6755
2   16.1055   14.0478
3   15.5282   14.0478
4   15.1247   12.981
5   15.1397   12.981
6   14.4649   12.6526
7   14.4647   12.6526
8   14.0046   12.57
9   13.5037   12.2163
10   13.5212   12.2163
11   13.2585   11.9348
12   13.0412   11.7883
13   13.0558   11.7883
14   12.8312   10.9934
15   12.8434   10.9934
16   12.5241   10.9934
17   12.2287   10.9934
18   12.2054   10.9934
19   11.6453   10.9934
20   11.568   10.9934
21   11.345   10.7887
22   11.3501   10.7887
23   11.182   10.702
24   11.1938   10.702
25   11.25   10.1692
26   11.0944   10.1692
27   11.0944   10.1692
28   10.9233   9.81914
29   10.7058   9.81914
30   10.7058   9.81914
31   10.4959   9.78021
32   10.3851   8.78873
33   10.3949   9.06121
34   10.2854   9.06121
35   10.2897   9.06121
36   10.2951   9.06121
37   10.3065   9.06121
38   10.3168   9.06121
39   10.0038   8.13889
40   9.76725   8.13889
41   9.31582   8.13889
42   9.32261   8.13889
43   9.32261   8.13889
44   9.08206   8.09046
45   9.08206   8.09046
46   8.6936   7.71788
47   8.6936   7.71788
48   8.69737   7.71788
49   8.7195   7.71788
50   8.87815   7.66003
51   8.85569   7.66003
52   8.91359   7.5841
53   8.58628   7.5841
54   8.28653   7.51994
55   8.16643   7.51994
56   8.00437   7.49284
57   7.84708   7.41691
58   7.71322   7.41691
59   7.71322   7.41691
60   7.71322   7.41691
61   7.59549   7.38479
62   7.60505   7.38479
63   7.60505   7.38479
64   7.51603   7.3301
65   7.51641   7.3301
66   7.52607   7.3301
67   7.59377   7.3301
68   7.59188   7.3301
69   7.75081   7.28164
70   7.7522   7.28164
71   7.67821   7.28164
72   7.86152   7.11707
73   7.86672   7.11707
74   7.70469   7.11707
75   7.66257   7.13875
76   7.66257   7.13875
77   7.52499   7.12977
78   7.47009   7.12977
79   7.47765   6.94596
80   7.54404   6.94596
81   7.82045   6.94596
82   7.82851   6.94596
83   7.65184   6.74123
84   7.47914   6.74123
85   7.26266   6.55562
86   7.31253   6.55562
87   7.20042   6.55562
88   7.21791   6.55562
89   7.03667   6.55562
90   7.03667   6.55562
91   6.99018   6.55562
92   7.02414   6.55562
93   7.01152   6.55562
94   7.02089   6.55562
95   7.00087   6.55562
96   7.03581   6.55562
97   6.9636   6.55562
98   6.94054   6.55562
99   6.88334   6.5485
100   6.90105   6.5485
101   6.92605   6.5485
102   6.91587   6.5485
103   6.69805   6.30255
104   6.71081   6.30255
105   6.66716   6.30255
106   6.68921   5.99999
107   6.68943   5.99999
108   6.55971   5.99999
109   6.63664   5.99999
110   6.65842   5.99999
111   6.66346   5.99999
112   6.68209   5.99999
113   6.70188   5.99999
114   6.71297   5.99999
115   6.71297   5.99999
116   6.63651   5.99999
117   6.43518   5.99999
118   6.45286   5.99999
119   6.27965   5.99999
120   6.40263   5.99999
121   6.41603   5.99999
122   6.49814   5.99999
123   6.31036   5.99999
124   6.37264   5.99999
125   6.47911   5.99999
126   6.27202   5.99999
127   6.24787   5.99999
128   6.31589   5.99999
129   6.56538   5.96996
130   6.4674   5.94762
131   6.43157   5.94762
132   6.44002   5.94762
133   6.44143   5.94762
134   6.36203   5.94762
135   6.36367   5.94762
136   6.24942   5.94762
137   6.20562   5.85731
138   6.20784   5.85731
139   6.04798   5.85731
140   6.0495   5.85731
141   6.27378   5.85731
142   6.28062   5.85731
143   6.29188   5.85731
144   6.29274   5.85731
145   6.19966   5.85731
146   6.0873   5.85731
147   6.28466   5.85731
148   6.2874   5.85731
149   6.28665   5.85731
150   6.29843   5.85731
151   6.30147   5.85731
152   6.30931   5.85731
153   6.1279   5.85731
154   6.09522   5.85731
155   6.12737   5.84904
156   6.07217   5.84904
157   6.03441   5.84904
158   6.02128   5.84904
159   5.8944   5.84904
160   5.8944   5.84904
161   6.01312   5.84904
162   6.01343   5.84904
163   6.02305   5.84904
164   5.93334   5.84904
165   6.08088   5.84904
166   5.98889   5.84904
167   6.1491   5.84904
168   6.15654   5.84904
169   6.14035   5.84904
170   6.12029   5.84904
171   6.02972   5.84904
172   6.22828   5.84904
173   6.23219   5.84904
174   6.16632   5.84904
175   6.30629   5.84904
176   6.30998   5.84904
177   6.33597   5.84904
178   6.43558   5.84904
179   6.26249   5.84904
180   6.2076   5.84904
181   6.13493   5.84904
182   6.02302   5.62965
183   6.00987   5.62965
184   6.06774   5.62965
185   5.82702   5.62965
186   5.79448   5.62965
187   6.02481   5.57397
188   6.03102   5.57397
189   5.86953   5.44481
190   5.81175   5.44481
191   5.81758   5.44481
192   5.82555   5.44481
193   5.89354   5.44481
194   5.73594   5.44481
195   5.56604   5.44481
196   5.5807   5.44481
197   5.59132   5.44481
198   5.59132   5.44481
199   5.67546   5.44481
200   5.67904   5.44481
201   5.84906   5.44481
202   5.75951   5.44481
203   5.65291   5.44481
204   5.66401   5.44481
205   5.67025   5.44481
206   5.76555   5.44481
207   5.83729   5.44481
208   5.76749   5.44481
209   5.63458   5.44481
210   5.46256   5.44481
211   5.52953   5.44481
212   5.53478   5.44481
213   5.62519   5.44481
214   5.6383   5.44481
215   5.63961   5.44481
216   5.65198   5.44481
217   5.55851   5.43051
218   5.70709   5.43051
219   5.81466   5.43051
220   5.72433   5.43051
221   5.73032   5.43051
222   5.79629   5.43051
223   5.79629   5.43051
224   5.60297   5.43051
225   5.61579   5.43051
226   5.76006   5.43051
227   5.78587   5.43051
228   5.79802   5.43051
229   5.80357   5.43051
230   5.83043   5.43051
231   5.78012   5.43051
232   5.75233   5.43051
233   5.78345   5.43051
234   5.76056   5.43051
235   5.59534   5.43051
236   5.68365   5.43051
237   5.79025   5.43051
238   5.79065   5.43051
239   5.77155   5.43051
240   5.77334   5.43051
241   5.69153   5.43051
242   5.76027   5.36802
243   5.77811   5.36802
244   5.73142   5.36802
245   5.73142   5.36802
246   5.7757   5.36802
247   5.77403   5.36802
248   5.77817   5.36802
249   5.72818   5.36802
250   5.68358   5.36802
251   5.6942   5.36802
252   5.8865   5.36802
253   5.83894   5.34475
254   5.58395   5.34475
255   5.47127   5.34475
256   5.48231   5.34475
257   5.48739   5.34475
258   5.48707   5.34475
259   5.49769   5.34475
260   5.50835   5.34475
261   5.48016   5.34475
262   5.479   5.34475
263   5.49759   5.34475
264   5.49759   5.34475
265   5.57858   5.34475
266   5.71635   5.34475
267   5.5699   5.34475
268   5.58301   5.34475
269   5.46687   5.34475
270   5.52736   5.34475
271   5.54424   5.34475
272   5.61438   5.34475
273   5.56436   5.34475
274   5.76089   5.34475
275   5.66631   5.34475
276   5.68617   5.34475
277   5.68617   5.34475
278   5.69052   5.34475
279   5.67389   5.34475
280   5.67389   5.34475
281   5.74808   5.34475
282   5.71084   5.34475
283   5.71084   5.34475
284   5.59961   5.34475
285   5.67433   5.34475
286   5.70474   5.34475
287   5.70474   5.34475
288   5.70474   5.34475
289   5.70474   5.34475
290   5.5916   5.34475
291   5.60219   5.34475
292   5.59005   5.34475
293   5.51433   5.34475
294   5.49229   5.34475
295   5.63646   5.34475
296   5.77784   5.34475
297   5.79579   5.34475
298   5.67212   5.34475
299   5.9376   5.34475
300   5.96128   5.34475
301   5.80638   5.34475
302   5.71889   5.34475
303   5.80458   5.34475
304   5.66637   5.34475
305   5.69121   5.34475
306   5.55404   5.34475
307   5.56172   5.34475
308   5.55939   5.34475
309   5.5786   5.34475
310   5.52633   5.34475
311   5.39489   5.34475
312   5.41613   5.34475
313   5.47293   5.34475
314   5.38079   5.34475
315   5.39597   5.34475
316   5.41456   5.34475
317   5.41456   5.34475
318   5.47066   5.34475
319   5.51559   5.34475
320   5.51559   5.34475
321   5.51919   5.34475
322   5.5518   5.34475
323   5.51332   5.34475
324   5.69379   5.34475
325   5.62534   5.34475
326   5.76708   5.34475
327   5.87224   5.34475
328   5.89205   5.34475
329   5.89205   5.34475
330   5.81269   5.34475
331   5.82818   5.34475
332   5.84469   5.34475
333   5.84469   5.34475
334   5.84469   5.34475
335   5.84696   5.34475
336   5.67394   5.34475
337   5.67394   5.34475
338   5.65464   5.34475
339   5.62   5.34475
340   5.687   5.34475
341   5.72504   5.34475
342   5.88783   5.34475
343   5.94344   5.34475
344   5.87046   5.34475
345   5.90035   5.34475
346   5.86904   5.34475
347   5.87797   5.34475
348   6.03143   5.34475
349   5.87277   5.34475
350   5.86225   5.34475
351   5.74006   5.34475
352   5.68965   5.34475
353   5.76716   5.34475
354   5.78693   5.34475
355   5.71653   5.34475
356   5.75369   5.34475
357   5.75369   5.34475
358   5.62747   5.34475
359   5.64388   5.34475
360   5.70326   5.34475
361   5.65651   5.34475
362   5.65651   5.34475
363   5.67319   5.34475
364   5.71927   5.34475
365   5.74953   5.34475
366   5.77303   5.34475
367   5.7751   5.34475
368   5.7906   5.34475
369   5.51519   5.34475
370   5.8335   5.34475
371   5.7172   5.34475
372   5.86888   5.34475
373   5.89432   5.34475
374   5.73821   5.34475
375   5.67516   5.34475
376   5.68775   5.34475
377   5.56476   5.34475
378   5.56476   5.34475
379   5.68593   5.34475
380   5.70568   5.34475
381   5.72598   5.34475
382   5.63533   5.34475
383   5.63781   5.34475
384   5.64574   5.34475
385   5.64986   5.34475
386   5.66745   5.34475
387   5.67426   5.34475
