n_step r error
0 1 0
1 1.41579 0.00392367
2 1.73849 0.00553458
3 2.01063 0.00659822
4 2.25157 0.00763946
5 2.45752 0.00870513
6 2.64232 0.00923099
7 2.82892 0.0093972
8 2.99882 0.0107133
9 3.16706 0.0112851
10 3.32177 0.0135017
11 3.47349 0.0147216
12 3.61446 0.0159047
13 3.75243 0.0167535
14 3.88265 0.0181215
15 4.01585 0.0179874
16 4.14774 0.0182985
17 4.27115 0.0182997
18 4.38798 0.0191947
19 4.49849 0.0197922
20 4.60671 0.0210218
21 4.70653 0.0195317
22 4.80457 0.0195124
23 4.91562 0.0199709
24 5.00825 0.0203142
25 5.11307 0.0197251
26 5.19994 0.0197643
27 5.29973 0.0189356
28 5.39001 0.0188113
29 5.48821 0.0176995
30 5.57857 0.0183042
31 5.65951 0.0191117
32 5.7524 0.0205304
33 5.84027 0.0209759
34 5.92342 0.0210006
35 6.01033 0.0206582
36 6.09008 0.0214264
37 6.17485 0.0218826
38 6.26018 0.0220004
39 6.34089 0.0232515
40 6.42357 0.0226966
41 6.49817 0.0221739
42 6.56967 0.0229749
43 6.64701 0.0233653
44 6.72277 0.0236001
45 6.80028 0.0232265
46 6.86839 0.0230318
47 6.94254 0.0232165
48 7.01814 0.0240939
49 7.08819 0.0237535
50 7.15445 0.0226843
51 7.22466 0.0231814
52 7.29139 0.023019
53 7.36512 0.0228827
54 7.42298 0.022127
55 7.4888 0.0229572
56 7.55966 0.0242046
57 7.62492 0.0243636
58 7.69501 0.0246998
59 7.75531 0.0249369
60 7.82303 0.0249818
61 7.8819 0.0249351
62 7.94236 0.0255046
63 8.00028 0.0266947
64 8.06071 0.0279606
65 8.13165 0.0282373
66 8.19509 0.0286913
67 8.26262 0.0289039
68 8.32484 0.0292988
69 8.38189 0.029988
70 8.44225 0.0296931
71 8.49874 0.0291808
72 8.55705 0.0302274
73 8.62651 0.0313455
74 8.68019 0.0322267
75 8.74569 0.0332307
76 8.8005 0.0328814
77 8.85372 0.032285
78 8.90843 0.0322873
79 8.96787 0.0330671
80 9.02162 0.0336591
81 9.08597 0.0341426
82 9.14905 0.0349641
83 9.20406 0.0353629
84 9.25163 0.0353375
85 9.30232 0.0350959
86 9.36416 0.0346211
87 9.41451 0.0346636
88 9.47163 0.0337543
89 9.52463 0.033638
90 9.57581 0.0336526
91 9.62334 0.0337717
92 9.67527 0.033677
93 9.72169 0.0337278
94 9.77246 0.0340691
95 9.81613 0.0330699
96 9.86683 0.0338555
97 9.91591 0.0342904
98 9.96726 0.0339774
99 10.007 0.034402
