n_step Call_profit Call_err Put_profit Put_err
1 15.074 0 5.50815 0
2 14.4658 0.608204 5.64959 0.14144
3 14.3081 0.384957 5.14481 0.511337
4 14.203 0.29179 4.98521 0.395227
5 13.7425 0.512898 5.01251 0.307356
6 14.0364 0.511581 5.15217 0.287198
7 14.4007 0.565419 5.15592 0.242755
8 15.0115 0.782824 4.99356 0.265629
9 14.5851 0.811453 5.06299 0.244334
10 14.7023 0.735184 5.13056 0.228745
11 14.9167 0.698709 5.11617 0.207407
12 15.0507 0.651751 5.14113 0.190975
13 15.0815 0.600315 5.21427 0.190289
14 15.2651 0.585322 5.20031 0.176726
15 15.5058 0.595718 5.05482 0.219626
16 15.3008 0.593746 5.13065 0.218992
17 15.1659 0.57381 5.20382 0.218332
18 15.2156 0.543272 5.11789 0.223062
19 15.0696 0.534227 5.2217 0.235152
20 15.0594 0.506915 5.27205 0.228696
21 14.9326 0.498585 5.26437 0.217669
22 14.8281 0.486721 5.26711 0.207558
23 14.9411 0.478617 5.30457 0.201835
24 14.8552 0.466222 5.30011 0.193294
25 15.0236 0.477829 5.21855 0.202549
26 14.9781 0.46133 5.27229 0.201888
27 14.8357 0.46622 5.30855 0.197622
28 14.8864 0.452123 5.30942 0.190435
29 14.9771 0.445567 5.32468 0.184384
30 14.9576 0.430897 5.29618 0.180397
31 15.0453 0.425883 5.2832 0.174963
32 15.0125 0.413663 5.24661 0.173315
33 14.9628 0.404004 5.29171 0.17393
34 14.9848 0.392558 5.25159 0.173441
35 14.9407 0.383719 5.21926 0.171486
36 14.8585 0.381853 5.25048 0.169553
37 14.8622 0.371408 5.28115 0.167735
38 14.8944 0.362932 5.26691 0.163881
39 14.8293 0.359453 5.28225 0.160359
40 14.7461 0.360102 5.35865 0.173974
41 14.7223 0.352013 5.36876 0.169978
42 14.7364 0.34382 5.35155 0.166772
43 14.7331 0.335746 5.32773 0.16458
44 14.8259 0.340925 5.33139 0.160838
45 14.8952 0.340383 5.31878 0.157728
46 14.8718 0.333724 5.33384 0.154994
47 14.882 0.326706 5.33798 0.151717
48 14.8995 0.320306 5.32367 0.149211
49 14.8945 0.313741 5.30411 0.147437
50 14.8699 0.308382 5.31679 0.145014
51 14.8511 0.302858 5.32169 0.142226
52 14.8546 0.296997 5.31416 0.139667
53 14.8819 0.292615 5.32147 0.137201
54 14.8931 0.287364 5.31072 0.135065
55 14.8607 0.283947 5.34367 0.136619
56 14.8786 0.279403 5.34723 0.134204
57 14.906 0.275826 5.35658 0.13216
58 14.9179 0.271288 5.35045 0.130006
59 14.9875 0.275595 5.32881 0.129604
60 15.0087 0.271789 5.33853 0.127795
61 15.0168 0.267419 5.34723 0.125984
62 15.013 0.263098 5.32878 0.1253
63 15.0561 0.262443 5.33022 0.123304
64 15.0454 0.258531 5.34346 0.122082
65 15.0022 0.258155 5.34509 0.120201
66 14.9971 0.254266 5.3193 0.121143
67 15.0203 0.251521 5.31992 0.119323
68 15.0119 0.247939 5.31778 0.117575
69 15.0524 0.247665 5.29514 0.11805
70 15.0812 0.245792 5.29107 0.116423
71 15.0758 0.242366 5.30129 0.115225
72 15.123 0.243582 5.29833 0.113652
73 15.1304 0.240336 5.28809 0.112551
74 15.0945 0.239756 5.30485 0.112278
75 15.0538 0.240023 5.30478 0.11077
76 15.0547 0.236846 5.30506 0.109304
77 15.0568 0.233759 5.2995 0.108018
78 15.0597 0.230761 5.29295 0.106825
79 15.0634 0.227851 5.30095 0.105767
80 15.0531 0.225217 5.31189 0.105008
81 15.0601 0.222527 5.31006 0.103719
82 15.1098 0.225348 5.29938 0.103002
83 15.1193 0.22282 5.30212 0.10179
84 15.0816 0.223359 5.30882 0.100794
85 15.0496 0.223021 5.30659 0.099626
86 15.0536 0.220448 5.30631 0.0984612
87 15.0691 0.218452 5.31039 0.0974084
88 15.057 0.216294 5.30678 0.0963627
89 15.0454 0.214162 5.3119 0.0954111
90 15.065 0.212673 5.30129 0.0949397
91 15.1223 0.217974 5.29721 0.093979
92 15.1229 0.215593 5.29322 0.0930375
93 15.0781 0.217922 5.30099 0.0923587
94 15.0912 0.215989 5.30726 0.0915856
95 15.0433 0.219005 5.30099 0.0908327
96 15.0226 0.217699 5.30491 0.0899668
97 15.0303 0.215579 5.29587 0.0894919
98 15.033 0.213385 5.29242 0.088641
99 15.0076 0.212743 5.30621 0.0888177
100 14.9777 0.212725 5.32956 0.0909738
