n_block r_average errore
1 1.48486 0
2 1.53368 0.0488141
3 1.54108 0.0291395
4 1.5234 0.0271514
5 1.53862 0.0259582
6 1.53242 0.0220826
7 1.52395 0.0204934
8 1.52625 0.0178956
9 1.52373 0.015982
10 1.51765 0.0155322
11 1.51256 0.0149447
12 1.50729 0.0146257
13 1.50895 0.0135561
14 1.50664 0.012761
15 1.5044 0.0120893
16 1.50379 0.0113253
17 1.50271 0.0106924
18 1.50353 0.0101144
19 1.50472 0.00964086
20 1.50317 0.00927716
21 1.50504 0.00902121
22 1.50222 0.00905356
23 1.50107 0.0087266
24 1.50068 0.0083643
25 1.50077 0.00802325
26 1.50229 0.00785716
27 1.50122 0.00763633
28 1.50127 0.00735875
29 1.50297 0.00730003
30 1.50344 0.00706869
31 1.50253 0.00689732
32 1.50217 0.00668833
33 1.50195 0.00648593
34 1.50212 0.00629432
35 1.50013 0.00642502
36 1.50254 0.00669056
37 1.50119 0.00664591
38 1.50157 0.00648028
39 1.50182 0.00631678
40 1.50123 0.00618487
41 1.50064 0.00606096
42 1.50064 0.0059149
43 1.49989 0.00582343
44 1.50026 0.00570131
45 1.50168 0.00575134
46 1.50257 0.00569505
47 1.50184 0.00561977
48 1.50271 0.00556891
49 1.50351 0.00551289
50 1.50397 0.0054212
51 1.5031 0.00538577
52 1.50221 0.00535543
53 1.50345 0.00539928
54 1.50296 0.00532149
55 1.50355 0.00525768
56 1.50473 0.00529469
57 1.5059 0.00533167
58 1.50559 0.00524801
59 1.50608 0.0051808
60 1.5058 0.00510138
61 1.50568 0.00501834
62 1.50497 0.00498719
63 1.50416 0.00497497
64 1.50305 0.00501976
65 1.5036 0.00497251
66 1.50376 0.00489927
67 1.50382 0.00482597
68 1.50308 0.00481222
69 1.50214 0.00483371
70 1.50202 0.00476583
71 1.50127 0.00475707
72 1.50057 0.00474234
73 1.49962 0.00477325
74 1.49976 0.00471047
75 1.49994 0.00465051
76 1.49978 0.00459174
77 1.50025 0.00455607
78 1.49936 0.00458452
79 1.49981 0.00454847
80 1.49973 0.00449187
81 1.49972 0.00443608
82 1.49966 0.00438213
83 1.49959 0.00432952
84 1.49943 0.00428083
85 1.4988 0.00427627
86 1.49888 0.00422712
87 1.49884 0.00417845
88 1.49898 0.00413295
89 1.49881 0.00408967
90 1.49939 0.00408537
91 1.49872 0.00409592
92 1.49829 0.0040739
93 1.49821 0.00403065
94 1.49801 0.00399239
95 1.49808 0.00395073
96 1.49853 0.00393501
97 1.49838 0.00389723
98 1.49943 0.00399714
99 1.49937 0.00395699
100 1.49985 0.0039464
