n_block r_average errore
1 14.3516 0
2 9.55276 4.79882
3 8.08615 3.13483
4 7.32394 2.34404
5 6.91484 1.86121
6 6.59255 1.55347
7 6.32851 1.33921
8 6.14697 1.17391
9 6.02944 1.04194
10 5.93345 0.93687
11 5.84359 0.852182
12 5.76016 0.782393
13 5.70275 0.721984
14 5.68796 0.66859
15 5.62928 0.625184
16 5.59042 0.586096
17 5.56632 0.551068
18 5.52701 0.521037
19 5.51448 0.493011
20 5.50078 0.467912
21 5.47023 0.446121
22 5.45633 0.425586
23 5.45066 0.406701
24 5.42571 0.390185
25 5.41266 0.37448
26 5.38742 0.360673
27 5.37598 0.347246
28 5.36041 0.334977
29 5.35053 0.323371
30 5.34544 0.312447
31 5.32568 0.302846
32 5.32292 0.293242
33 5.30551 0.28475
34 5.28784 0.276813
35 5.28305 0.26883
36 5.26606 0.261808
37 5.27623 0.254836
38 5.27123 0.24809
39 5.27346 0.241655
40 5.26373 0.235737
41 5.25771 0.229994
42 5.25265 0.224508
43 5.24832 0.219268
44 5.24519 0.214249
45 5.24081 0.20948
46 5.23337 0.20501
47 5.22472 0.200788
48 5.22394 0.196562
49 5.23214 0.192683
50 5.22483 0.188932
51 5.21615 0.185393
52 5.22276 0.181914
53 5.21843 0.178501
54 5.21306 0.175246
55 5.20749 0.172121
56 5.19849 0.169259
57 5.19428 0.166316
58 5.18876 0.163516
59 5.19322 0.160783
60 5.18293 0.158415
61 5.17925 0.15584
62 5.17639 0.153332
63 5.1753 0.150883
64 5.17255 0.148532
65 5.17319 0.146231
66 5.172 0.144003
67 5.16791 0.141896
68 5.16414 0.139845
69 5.16032 0.137856
70 5.16139 0.135877
71 5.16414 0.133977
72 5.16701 0.132135
73 5.16328 0.130365
74 5.1634 0.128592
75 5.16213 0.126872
76 5.16211 0.125191
77 5.15981 0.123576
78 5.16041 0.121983
79 5.1597 0.120431
80 5.15348 0.119078
81 5.15017 0.117646
82 5.14953 0.116204
83 5.15521 0.114936
84 5.15309 0.113579
85 5.15432 0.112241
86 5.15211 0.110951
87 5.15185 0.109668
88 5.14609 0.108568
89 5.1424 0.107404
90 5.14198 0.106205
91 5.14146 0.105033
92 5.14022 0.103892
93 5.1371 0.102816
94 5.13585 0.101725
95 5.1327 0.100697
96 5.13353 0.0996463
97 5.13156 0.0986334
98 5.12728 0.0977154
99 5.12623 0.0967291
100 5.12776 0.0957692
101 5.12514 0.0948524
102 5.12456 0.0939197
103 5.12159 0.0930507
104 5.1197 0.0921711
105 5.11692 0.0913312
106 5.11638 0.0904671
107 5.11733 0.0896227
108 5.11561 0.0888057
109 5.1113 0.0880926
110 5.11129 0.0872881
111 5.11143 0.0864982
112 5.11029 0.0857299
113 5.11347 0.0850272
114 5.11298 0.0842794
115 5.11113 0.0835639
116 5.10803 0.082898
117 5.10533 0.082231
118 5.10737 0.0815566
119 5.10691 0.0808697
120 5.10642 0.0801944
121 5.10468 0.0795479
122 5.1027 0.0789182
123 5.10152 0.0782827
124 5.09996 0.0776645
125 5.09705 0.0770958
126 5.09736 0.0764821
127 5.09601 0.0758896
128 5.09901 0.0753544
129 5.09649 0.0748103
130 5.0967 0.0742329
131 5.09735 0.0736669
132 5.09664 0.0731101
133 5.09566 0.0725649
134 5.09472 0.0720274
135 5.09495 0.0714923
136 5.09593 0.0709714
137 5.0925 0.0705346
138 5.09093 0.0700393
139 5.09132 0.0695347
140 5.09025 0.0690446
141 5.0895 0.0685572
142 5.08944 0.0680728
143 5.08913 0.0675957
144 5.08694 0.0671606
145 5.08789 0.0667026
146 5.08753 0.0662451
147 5.0871 0.0657943
148 5.08626 0.0653536
149 5.08589 0.0649146
150 5.08546 0.0644818
151 5.08384 0.0640737
152 5.08369 0.063651
153 5.08345 0.063234
154 5.08238 0.0628313
155 5.08252 0.0624248
156 5.0827 0.0620236
157 5.08163 0.0616367
158 5.0813 0.0612462
159 5.07943 0.0608886
160 5.07716 0.0605495
161 5.07641 0.0601768
162 5.07545 0.059812
163 5.07323 0.0594852
164 5.074 0.0591264
165 5.07184 0.0588069
166 5.07236 0.0584539
167 5.07192 0.0581045
168 5.07227 0.0577586
169 5.07072 0.0574368
170 5.07072 0.057098
171 5.06972 0.0567719
172 5.07002 0.0564416
173 5.07046 0.0561161
174 5.07102 0.0557956
175 5.07157 0.0554785
176 5.07001 0.0551842
177 5.06859 0.0548901
178 5.06782 0.0545862
179 5.06901 0.0542935
180 5.06889 0.0539912
181 5.06802 0.0536991
182 5.06648 0.0534255
183 5.06663 0.053133
184 5.0648 0.0528748
185 5.06506 0.0525889
186 5.06419 0.0523125
187 5.06418 0.052032
188 5.0637 0.0517567
189 5.06265 0.0514929
190 5.06233 0.0512221
191 5.06209 0.0509538
192 5.05978 0.0507404
193 5.05873 0.0504877
194 5.05696 0.0502578
195 5.0571 0.0499996
196 5.05683 0.0497446
197 5.05605 0.0494976
198 5.05604 0.049247
199 5.05491 0.049012
200 5.05705 0.0488132
