n_block r_average errore
1 5.04334 0
2 4.91471 0.128627
3 5.00316 0.115495
4 5.00208 0.0816746
5 5.04275 0.0752109
6 5.01548 0.0671926
7 5.00432 0.0578727
8 4.99687 0.050671
9 4.99434 0.0447592
10 5.0088 0.0425668
11 5.00619 0.0385917
12 4.9999 0.0357858
13 5.01678 0.0369937
14 5.01751 0.0342572
15 5.0025 0.0352463
16 5.00315 0.0329762
17 5.00941 0.0316023
18 5.01423 0.0301828
19 5.02001 0.0291289
20 5.02875 0.0289828
21 5.03024 0.0276084
22 5.02833 0.0263922
23 5.02781 0.0252241
24 5.02839 0.0241573
25 5.03363 0.0237546
26 5.03895 0.0234345
27 5.04188 0.0227391
28 5.03911 0.0220862
29 5.0332 0.0221133
30 5.03756 0.0218037
31 5.03252 0.0216826
32 5.03391 0.0210397
33 5.03346 0.0203971
34 5.03557 0.0199003
35 5.03877 0.0195864
36 5.03597 0.0192394
37 5.03335 0.0188955
38 5.03205 0.0184368
39 5.03214 0.017958
40 5.04357 0.020904
41 5.03592 0.0217766
42 5.03373 0.0213639
43 5.03214 0.0209215
44 5.03329 0.0204727
45 5.03484 0.0200724
46 5.03112 0.0199797
47 5.03093 0.019551
48 5.02901 0.0192354
49 5.03446 0.0196112
50 5.03301 0.0192693
51 5.0272 0.0197608
52 5.03046 0.0196491
53 5.02918 0.0193168
54 5.02535 0.0193401
55 5.02395 0.0190362
56 5.02419 0.0186947
57 5.02525 0.0183945
58 5.03175 0.0192065
59 5.02985 0.0189732
60 5.02778 0.0187684
61 5.02395 0.0188516
62 5.02135 0.018727
63 5.0214 0.0184274
64 5.02217 0.0181536
65 5.02044 0.0179562
66 5.02197 0.017748
67 5.02022 0.0175685
68 5.02069 0.0173146
69 5.01774 0.017314
70 5.01469 0.0173366
71 5.01266 0.0172101
72 5.01281 0.01697
73 5.01596 0.017029
74 5.01714 0.0168388
75 5.0155 0.0166928
76 5.01525 0.0164737
77 5.01841 0.016563
78 5.0162 0.0164983
79 5.013 0.0165984
80 5.01332 0.0163927
81 5.01723 0.0166549
82 5.01848 0.016498
83 5.01729 0.0163415
84 5.01433 0.0164144
85 5.01419 0.0162207
86 5.01412 0.0160312
87 5.01281 0.0158997
88 5.01282 0.015718
89 5.00961 0.0158677
90 5.00857 0.0157252
91 5.00982 0.0156018
92 5.00703 0.0156823
93 5.00828 0.0155633
94 5.00529 0.0156846
95 5.00356 0.0156139
96 5.00317 0.0154554
97 5.00409 0.0153231
98 5.00351 0.0151771
99 5.00226 0.0150751
100 5.00332 0.0149612
101 5.00142 0.0149334
102 5.00144 0.0147863
103 4.99986 0.014727
104 4.99904 0.0146075
105 4.99915 0.0144681
106 4.9951 0.0148909
107 4.99491 0.0147524
108 4.99605 0.0146591
109 4.99327 0.0147865
110 4.99151 0.0147575
111 4.991 0.0146327
112 4.98831 0.0147478
113 4.98766 0.0146315
114 4.98714 0.0145119
115 4.98735 0.0143867
116 4.98578 0.0143478
117 4.98624 0.0142321
118 4.98669 0.014118
119 4.98811 0.0140714
120 4.98914 0.0139917
121 4.98912 0.0138756
122 4.98867 0.0137686
123 4.98698 0.0137606
124 4.9865 0.0136578
125 4.98998 0.0139878
126 4.9909 0.0139073
127 4.99102 0.0137979
128 4.98964 0.013759
129 4.98892 0.0136711
130 4.98879 0.0135661
131 4.98999 0.0135156
132 4.98901 0.0134487
133 4.99076 0.0134609
134 4.99102 0.0133627
135 4.99014 0.0132926
136 4.99182 0.0133019
137 4.99032 0.0132903
138 4.98827 0.0133506
139 4.9879 0.0132597
140 4.98784 0.0131647
141 4.98797 0.0130717
142 4.98832 0.0129839
143 4.99107 0.0131844
144 4.99055 0.0131029
145 4.99148 0.0130453
146 4.99081 0.0129727
147 4.99046 0.0128889
148 4.99081 0.0128062
149 4.98842 0.0129424
150 4.98794 0.0128646
151 4.98667 0.0128421
152 4.98717 0.012767
153 4.98711 0.0126834
154 4.98782 0.0126208
155 4.9894 0.0126381
156 4.98804 0.0126306
157 4.98878 0.0125716
158 4.98902 0.0124941
159 4.98991 0.0124475
160 4.9911 0.0124264
161 4.99214 0.0123928
162 4.99238 0.0123184
163 4.99283 0.0122506
164 4.99456 0.0122984
165 4.99262 0.0123771
166 4.99302 0.012309
167 4.99357 0.0122472
168 4.99338 0.0121755
169 4.9937 0.0121074
170 4.99556 0.0121797
171 4.99634 0.0121334
172 4.99599 0.0120677
173 4.9951 0.0120311
174 4.9956 0.0119724
175 4.99602 0.011911
176 4.99639 0.0118489
177 4.99698 0.0117968
178 4.99726 0.0117336
179 4.99801 0.0116917
180 4.99861 0.0116424
181 4.99856 0.011578
182 4.99784 0.0115365
183 4.99891 0.011523
184 4.99898 0.0114604
185 4.99927 0.0114018
186 4.99866 0.0113564
187 4.99879 0.0112963
188 4.99844 0.0112415
189 4.99849 0.011182
190 4.99781 0.0111436
191 4.99714 0.0111053
192 4.99716 0.0110474
193 4.99724 0.0109902
194 4.99852 0.0110076
195 4.99753 0.010995
196 4.99745 0.0109391
197 4.99739 0.0108836
198 4.99596 0.0109224
199 4.99713 0.0109301
200 4.99813 0.0109208
